id	object	fail_closed_condition
F01	source_identity	any_frozen_source_path_blob_size_or_sha256_changes
F02	abstract_vs_embedded	abstract_pair_representation_is_called_complete_physical_reduction_without_embedding_map
F03	equivariance	physical_structure_is_required_to_have_fixed_components_in_every_frame
F04	fixed_plane	fixed_component_plane_is_retained_despite_exact_Lorentz_centralizer_counterexample
F05	ansatz_scope	chosen_block_screen_S3_coframe_is_called_foundationally_selected
F06	branch_scope	Killing_twist_or_readout_branch_selector_is_generalized_to_all_complete_metrics
F07	metric_gauge	all_local_Lorentz_coframes_are_called_physically_distinct_without_a_reduction
F08	postulate_scope	observer_frame_reciprocity_is_promoted_from_naturality_to_unique_slot_selection
F09	current_precedence	older_claim_overrides_LIVE_current_premise_registry_or_source_specific_correction
F10	contact_targeting	q_squared_usefulness_changes_the_authority_classification
F11	inactive_import	strong_CSN_carrier_action_GR_equation_or_bootstrap_return_is_used
F12	physics_promotion	action_source_density_mass_matter_or_canon_is_inferred
