id	path	input_type	output_type	scope	ruling	exact_missing_arrow	anchor
S01	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	reciprocal_c_plus_dual_reciprocity_composition_declared_readout	abstract_pair_and_local_spherical_metric	founding_local_spherical_readout	ABSTRACT_PAIR_DERIVED_AND_LOCAL_PHYSICAL_READOUT_DECLARED	complete_4D_embedding_and_profile	The result does not yet derive a unique action, the profile
S02	reciprocal_c_clock_channel_correction_2026-07-19/AUDIT_REPORT.md	named_reciprocal_channels	clock_and_ruler_channel_characters	conditional_stationary_readout	CHANNEL_ASSIGNMENT_DERIVED_READOUT_CONDITIONAL	complete_angular_observer_and_representative_scope	Turning the named temporal
S03	udt_phi_metric_ontology_audit_2026-07-22/AUDIT_REPORT.md	positive_reciprocal_pair	phi_log_ratio_and_conditional_reconstruction	chosen_diagonal_pair_readout	PAIR_MEANING_DERIVED_COMPLETE_OWNERSHIP_OPEN	unique_complete_reciprocal_plane_or_readout	registered complete metric does not yet select those objects.
S04	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	founding_postulates_and_composition	abstract_ordered_pair_operator	abstract_pair_and_diagonal_control	ABSTRACT_OBSERVER_PAIR_OPERATOR_DERIVED	physical_pair_depth_endpoint_frames_and_angular_completion	the physical map from a complete observer pair to additive depth
S05	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	fixed_founded_base_generator	seven_parameter_complete_extension_class	registered_triangular_pointwise_chart	FOUNDED_SUBGROUP_DERIVED_COMPLETE_EXTENSION_UNSELECTED	physical_angular_and_mixing_lift	postulates do not select a unique complete coframe.
S06	udt_founded_pair_global_alignment_audit_2026-07-26/AUDIT_REPORT.md	founded_pair_plus_recorded_readout	local_physical_clock_ruler_alignment	bounded_local_pair_class	LOCAL_PHYSICAL_ALIGNMENT_DERIVED_CONDITIONAL_ON_READOUT	global_pair_field_transport_and_screen_response	whether local pair comparisons form one global subbundle or a relational pair-indexed family
S07	udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md	founded_pair_plus_active_premises	zero_selector_rank_on_complete_extension	seven_parameter_triangular_tangent_class	EQUIVARIANCE_REQUIRED_FIXED_PLANE_REJECTED	covariant_complete_coframe_lift_or_section	The correct covariant form is equivariance
S08	udt_calibrated_reciprocal_readout_descent_audit_2026-07-26/AUDIT_REPORT.md	aligned_calibrated_readout	physical_pair_in_local_slice	complete_symmetric_pair_readouts	ALIGNED_LOCAL_READOUT_EXACT_GLOBAL_EXTENSION_OPEN	complete_4D_alignment_or_native_mixed_solder	four-dimensional extension must preserve that alignment
S09	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/AUDIT_REPORT.md	stationary_Killing_line_and_twisted_coframe	branch_intrinsic_depth_and_ruler_alignment	bounded_complete_S3_controls	BRANCH_CONDITIONAL_METRIC_NATIVE_REDUCTION_DATA_EXIST	single_all_gate_intrinsic_pair_witness	THE_FULL_INTRINSIC_CLOCK_RULER_PAIR_REMAINS_CONDITIONAL.
S10	udt_metric_natural_joint_selector_nogo_2026-07-28/AUDIT_REPORT.md	unrestricted_pointwise_Lorentz_metric	nonexistence_of_nonscalar_natural_generator	full_isotropy_control	METRIC_ONLY_POINTWISE_UNIVERSAL_REDUCTION_NOT_AVAILABLE	higher_jet_nonlocal_or_whole_solution_reduction	therefore requires a reduction of
S11	udt_uniqueness_consumer_audit_2026-07-28/AUDIT_REPORT.md	signature_twist_and_observed_orientation	branch_local_breaking_or_pair_valued_carrying	adjudicated_consumer_families	DERIVED_STRUCTURE_CAN_SELECT_OR_BREAK_ROLES_IN_SOME_STRATA	one_universal_complete_reduction	exchange is broken exactly where derived structure
S12	udt_whole_configuration_reciprocity_audit_2026-08-01/AUDIT_REPORT.md	observer_frame_reciprocity	naturality_of_future_laws	frozen_whole_configuration_source_universe	OBSERVER_RECIPROCITY_IS_EQUIVARIANCE_NOT_SLOT_SELECTION	nonidentity_law_or_reduction_generator	does not imply that a configuration is fixed
S13	udt_fc07_reciprocal_harmonic_compatibility_audit_2026-08-02/AUDIT_REPORT.md	internal_dual_reciprocity	pair_representation	bounded_FC07_family	PAIR_REPRESENTATION_DOES_NOT_SELECT_GLOBAL_LEVEL_OR_SOLDER	primitive_H1_scale_and_response_covector	Internal dual Reciprocity fixes the clock/ruler representation
S14	udt_complete_cell_cartan_alternating_production_review_2026-08-02/CORRECTION_LAYER.md	registered_pair_screen_split	first_Cartan_contact_encoding	frozen_29_source_authority_set	CONTACT_ENCODING_DERIVED_GIVEN_SPLIT	complete_frame_naturality	Complete-frame
S15	udt_complete_cell_full_gl2_screen_frame_descent_audit_2026-08-02/AUDIT_REPORT.md	registered_O11xO2_reduction	q_squared_split_reduction_invariant	stationary_complete_S3_general_screen	CONTACT_NORM_DERIVED_GIVEN_REDUCTION_NO_METRIC_ONLY_DESCENT	physical_authority_of_reduction	It does not descend to the metric alone.
