object	status	scope	open_scope
abstract_reciprocal_pair	DERIVED	founding_reciprocal_c_dual_reciprocity_and_composition	physical_complete_embedding
founded_phi_pair_action	DERIVED	diag_exp_minus_phi_exp_plus_phi	profile_observer_path_and_complete_extension
local_physical_clock_ruler_alignment	DERIVED_CONDITIONAL	recorded_declared_Lorentzian_readout	universal_complete_metric_preservation
fixed_component_plane_all_frames	REFUTED	connected_local_Lorentz_frames	none;replace_with_equivariance
equivariant_transformation_requirement	DERIVED_SCOPED	any_supplied_physical_reduction	selection_or_generation_of_reduction
branch_conditional_metric_native_reductions	DERIVED_BOUNDED	stationary_Killing_norm_and_twist_controls	single_all_gate_witness_and_other_branches
universal_complete_physical_reduction	OPEN	all_complete_metrics_and observer/path assembly	intrinsic_subbundle_projector_or_slot_rule
q_pair	DERIVED_GIVEN_REGISTERED_REDUCTION	contact_pair_as_O11_vector_and_O2_pseudoscalar	universal_physical interpretation
q_squared	DERIVED_GIVEN_REGISTERED_REDUCTION	O11xO2_invariant_off_or_across_null_as_algebra	metric_only_or_universal_observable status;future independently realized complete reduction
q_contact_log	DERIVED_OFF_NULL_GIVEN_REDUCTION	q_squared_nonzero	q_squared_zero stratum and physical reduction
metric_only_contact_scalar	NOT_DERIVED	arbitrary local pair_screen_changing coframes	higher_jet_nonlocal_or_whole_solution selector
action_source_density_bootstrap_mass_matter	OPEN	not used	native closure
