item	status	note
G350_preregistration	FROZEN_OUTCOME_UNSEEN	awaiting commit and push before execution
production	NOT_RUN	registered dependency-free direct positive-ratio checks
independent_verification	NOT_RUN	registered exact rational logarithmic reconstruction
hostile_mutations	NOT_RUN	25 preregistered claim mutations
external_review	NOT_RUN	fresh sealed review only after local evidence closes
continuous_character_classification	OPEN	primary alternatives A--D frozen
observer_weight	OPEN	no carried scalar type selected
sheet_conservation	NEW_PREMISE_CANDIDATE_NOT_ADOPTED	conditional discriminator only
source_content	OPEN	zero and arbitrary nonzero values retained
caustic_transfer	OPEN	zero-area boundary retained
light_distance_population_scale_Xmax	OPEN_NOT_DERIVED	outside maximum conclusion
canon	OPEN	Charles alone canonizes
