item	status	role
carried_scalar_wording	REPAIRED_TYPE	scalar-valued component or one-dimensional observer-weight section; not observer-independent when p is nonzero
endpoint_coboundary_wording	REPAIRED_TYPE	consistently endpoint-assigned positive zero-cochain on one retained label
universal_character_domain	CHOSE_BOUNDED_CLASSIFICATION	sewing quantified on all positive frequency-area ratio pairs; realized-subgroup caveat retained
caustic_trichotomy	REPAIRED_SCOPE	one denominator area positive, numerator approaches zero, frequency ratio finite and nonzero
simultaneous_zero_areas	OPEN_NOT_CLASSIFIED	ratio depends on relative vanishing orders
manifest_authentication	INTERNAL_CHECKSUM_ONLY	no external signature or trusted timestamp claimed
commit_push_chronology	DOCUMENTARY_TO_INTAKE_ONLY_REVIEWER	three scientific scripts hash-frozen; repaired aggregate verifier not outcome-unseen
exact_log_route	CATEGORY_A_FORMULA_CHECK	implementation-distinct exact proposed-formula verification; analytic proof supplies completeness
historical_contract_guard	CATEGORY_A_LIMITED_GUARD	hard-coded 25-field enumeration; not semantic hostile proof
repair_semantic_mutants	CATEGORY_A_METHOD	independent 14-witness semantic repair certification
repair_numerics	CATEGORY_A_METHOD	mixed absolute-relative naming plus direct and wide-log-domain checks
