id	path	locator	source_status	audit_use
S01	UDT_NATIVE_ACTION_COLD_PACKET.md	Sections 2 and 3	BINDING_FOUNDATION_PACKET	Exact C0/C1 authority fixes only odd phi parity/value with free normal derivative and leaves the transverse block and complete boundary data open.
S02	finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	Result and strongest mirror-fold challenge	VERIFIED_WITH_CAVEATS	Proves partial seal data only and rejects promotion of the word mirror into an ordinary full metric reflection.
S03	udt_clock_ruler_soldering_selector_audit_2026-07-20/AUDIT_REPORT.md	Seal-local construction	VERIFIED_WITH_CAVEATS	Supplies conditional fixed timelike and reversed radial lines while leaving the complete lift open.
S04	udt_complete_lift_mu_closure_audit_2026-07-20/AUDIT_REPORT.md	Complete lift census	VERIFIED_WITH_CAVEATS	Supplies the four registered angular lift classes orientation and fixed/anti multiplicities.
S05	udt_metric_native_two_pair_selector_audit_2026-07-21/AUDIT_REPORT.md	Seal-local pair and missing join	IMMEDIATE_PARENT	Shows only reflection angular lifts admit the metric-derived complementary pair and asks whether the lift is selected.
S06	udt_gr_subtraction_reciprocal_connection_audit_2026-07-21/AUDIT_REPORT.md	Direct versus full pair fork	VERIFIED_WITH_CAVEATS	Keeps transverse identity as the direct faithful extension and full two-pair as conditional.
S07	transverse_reciprocal_realization_selector_2026-07-19/AUDIT_REPORT.md	Direct vector and conditional projective routes	VERIFIED_WITH_CAVEATS	Prevents using Hopf or spin correspondence to select a physical angular lift.
S08	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	Global lift and cover status	VERIFIED_WITH_CAVEATS	Global cover incidence normal action and complete coframe continuation remain open.
S09	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	Conditional global toric theorem	VERIFIED_WITH_CAVEATS	Periods collapse cycles and caps remain excluded selector inputs.
S10	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	Postulate and undecided list	FOUNDATIONAL_POSTULATE_LOCKED	CSN supplies no orientation or angular involution law.
S11	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	Interpretation ledger	OWNER_STATED_WORKING_PRINCIPLE	Bootstrap supplies no off-shell seal lift or pointwise boundary action.
S12	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	Finite-cell and angular frontier	CURRENT_FRONTIER	Exact C0/C1 does not derive transverse periodic slots complete lift or boundary.
S13	LIVE.md	Top current-state overlay	CURRENT_CONTROL	Records that finite-cell canon fixes static phi parity/value but no torus lattice caps or boundary equation.
S14	udt_complete_seal_fixed_set_selector_audit_2026-07-21/PREREGISTRATION.md	Whole file	FROZEN_PREREGISTRATION	Freezes lift census geometric interpretations falsifiers and maximum conclusion.
