criterion	coverage	what_was_tested	what_remains_open
seal_lifts	COMPLETE_REGISTERED_CLASS	plus identity minus identity axis reflection local Hopf exchange	field-dependent angular actions and unknown future lifts
fixed_set_geometry	COMPLETE_LOCAL_LINEAR_CLASS	fixed and anti-fixed dimensions determinant codimension time and radial action	global fixed-set topology singular strata and free actions
metric_coupling	EIGHT_EXACT_WITNESSES	all four lifts at mu 4 and mu 9 with nonzero cross blocks	function-valued time-live cross coupling
normal_jet	BOUNDED_LINEAR_PARITY	all symmetric first-jet parity dimensions under each supplied involution	higher jets nonlinear boundary evolution and action variation
source_authority	COMPLETE_CURRENT_CLAUSES	exact C0/C1 scalar fold boundary audit soldering and lift packages	future owner ruling or canonization
orientation	LOCAL_CLASSIFICATION	full and spatial determinant plus orientability counterexample	global orientation bundle and quotient orientation law
angular_global_data	NOT_COVERED	local axis/Hopf conjugacy only	periods integral lattice cover caps quotient and topology
bulk_transport	NOT_COVERED	no connection or holonomy used	seal-to-bulk continuation and dynamics
action_boundary	NOT_COVERED	no action or polarization selected	bulk/boundary functional charge and corner data
matter_scale	NOT_COVERED	no carrier merit or physical scale used	carrier source mass scale and canonization
