criterion	coverage	what_was_tested	what_remains_open
fields	BOUNDED	conformal metric Weyl one-form direct and full reciprocal endomorphisms seal classes	spacetime derivation of L full field census and matter
action_terms	NOT_COVERED	no action imported	native bulk boundary and matter action
full_equations	KINEMATIC_COMPATIBILITY_ONLY	torsion-free conformal and reciprocal preservation equations	Euler-Lagrange equations constraints and evolution
domain_coordinates	LOCAL_JET_PLUS_EXACT_PROFILE	four-dimensional point jet and one exact radial profile	global charts time dependence and general angular dependence
boundary_regularity	SOURCE_AUDITED_ONLY	seal authority and conditional cap consequences	physical boundary functional and smooth global completion
topological_sector	DIAGNOSTIC_ONLY	conditional reciprocal Hopf orbit weight match	physical periodic slots caps quotient and carrier section
dynamical_character	NOT_COVERED	connection compatibility is not dynamics	stationary periodic and time-live solutions
branch_bifurcation	BOUNDED_CLASSIFICATION	four seal lifts direct versus two full generator orientations	arbitrary field-dependent anisotropic and torsionful connections
stability_spectrum	NOT_COVERED	stable Hopfion used only as premise-stamped clue	metric-native stability and topology propagation
regime_of_validity	EXPLICIT	conditional 4D Lorentzian CSN torsion-free Weyl class and registered lifts	unconditional UDT connection matter action scale and mass

