catch_id	mutation_that_must_fail	result	exercised_by
C01	treat_older_pinned_by_habit_wording_as_overriding_current_founded_readout	PASS	verify_audit.py:source_precedence
C02	transform_metric_under_basis_change_but_leave_reciprocal_generator_fixed	PASS	derive_and_independent:metric_only_transform_changes_pair
C03	accept_nonzero_pair_offdiagonal_as_the_exact_same_founded_pair_restriction	PASS	derive:fixed_operator_self_adjoint_iff_pair_offdiagonal_zero
C04	call_a_projected_or_compressed_pair_action_an_invariant_subbundle_extension	PASS	derive_and_independent:compression_witness
C05	permit_self_adjoint_X_to_move_E_out_of_E_while_calling_E_invariant	PASS	verify_audit.py:invariance_label_mutation
C06	permit_noninvariance_of_E_perp_for_self_adjoint_X_and_nondegenerate_invariant_E	PASS	derive:invariant_self_adjoint_extension_is_block_diagonal
C07	promote_one_supplied_local_pair_to_a_global_pair_field_without_transport	PASS	verify_audit.py:global_promotion_mutation
C08	select_lambda_or_screen_isotropy_from_pair_restriction_alone	PASS	derive:pair_restriction_independent_of_lambda
C09	use_a_full_metric_cross_term_to_claim_the_intrinsic_pair_metric_has_changed	PASS	derive_and_independent:complete_pair_restriction
C10	claim_physical_reciprocal_swap_isometry_between_opposite_causal_eigenlines	PASS	derive_and_independent:opposite_causal_norms

