catch_id	mutation_that_must_fail	reason
C01	treat_older_pinned_by_habit_wording_as_overriding_current_founded_readout	current_premise_precedence_must_control
C02	transform_metric_under_basis_change_but_leave_reciprocal_generator_fixed	this_changes_the_metric_operator_pair_not_its_coordinates
C03	accept_nonzero_pair_offdiagonal_as_the_exact_same_founded_pair_restriction	founding_declared_readout_has_zero_clock_ruler_inner_product
C04	call_a_projected_or_compressed_pair_action_an_invariant_subbundle_extension	projection_does_not_supply_invariance
C05	permit_self_adjoint_X_to_move_E_out_of_E_while_calling_E_invariant	logical_contradiction
C06	permit_noninvariance_of_E_perp_for_self_adjoint_X_and_nondegenerate_invariant_E	violates_the_orthogonal_complement_theorem
C07	promote_one_supplied_local_pair_to_a_global_pair_field_without_transport	global_authority_is_absent
C08	select_lambda_or_screen_isotropy_from_pair_restriction_alone	pair_data_do_not_fix_screen_response
C09	use_a_full_metric_cross_term_to_claim_the_intrinsic_pair_metric_has_changed	cross_sector_solder_and_pair_restriction_are_distinct
C10	claim_physical_reciprocal_swap_isometry_between_opposite_causal_eigenlines	isometries_preserve_causal_type

