route_id	question	candidate_ruling	status_before_compute
R01	founding_source_assigns_transformed_pair_to_local_physical_coframe	LOCAL_ALIGNMENT_INTRINSIC_WITH_DECLARED_READOUT	PREREGISTERED
R02	founding_source_leaves_local_pair_readout_unassigned	LOCAL_ALIGNMENT_ONLY_CHART_GAUGE	PREREGISTERED
R03	simultaneous_pair_basis_change_erases_metric_operator_mixing	MIXED_PAIR_READOUT_EQUIVALENT_BY_SIMULTANEOUS_BASIS_CHANGE	PREREGISTERED
R04	mixed_metric_with_fixed_diagonal_operator_is_inequivalent	MIXED_PAIR_READOUT_REQUIRES_DIFFERENT_METRIC_OPERATOR_PAIR	PREREGISTERED
R05	full_metric_cross_terms_preserve_exact_founded_pair_restriction	COMPLETE_CROSS_SECTOR_TERMS_COMPATIBLE_WITH_FIXED_PAIR_RESTRICTION	PREREGISTERED
R06	self_adjoint_invariant_pair_has_invariant_orthogonal_complement	INVARIANT_SELF_ADJOINT_PAIR_FORCES_ORTHOGONAL_COMPLEMENT_INVARIANCE	PREREGISTERED
R07	projection_or_compression_extension_is_equivalent_to_invariant_pair_extension	PROJECTION_ONLY_EXTENSION_IS_NOT_INVARIANT_SUBBUNDLE_EXTENSION	PREREGISTERED
R08	local_pair_formula_supplies_global_pair_field_and_transport	FOUNDING_FORCES_GLOBAL_PAIR_SUBBUNDLE	PREREGISTERED
R09	global pair identity still needs observer_path_assignment_and_transport	GLOBAL_PAIR_SUBBUNDLE_REMAINS_OPEN	PREREGISTERED
R10	complete extension selects unique screen response_or_lambda	NO_UNIQUE_SCREEN_RESPONSE_AUTHORIZED	PREREGISTERED

