object	status	statement	remaining_scope
Founded_phi_pair_action	DERIVED	P(phi)=diag(exp(-phi),exp(phi)) on the marked reciprocal pair	Profile_and_global_pair_assignment
Local_physical_clock_ruler_alignment	DERIVED_CONDITIONAL	Intrinsic_to_the_metric_operator_pair_when_the_recorded_declared_local_readout_is_applied	Not_a_claim_that_reciprocal_c_arithmetic_alone_supplies_Lorentzian_signature_or_global_axes
Pair_metric_self_adjointness	DERIVED_CONDITIONAL	The_founded_generator_is_self_adjoint_and_has_one_timelike_and_one_spacelike_eigenline	Depends_on_the_declared_local_physical_metric_readout
Mixed_fixed_operator_readout	COUNTERFACTUAL_NOT_ACTIVE	Exact_Lorentzian_swap_isometric_family_exists_but_is_inequivalent_to_the_founded_metric_operator_pair	Could_be_reopened_only_by_explicitly_replacing_the_readout_premise
Complete_metric_cross_terms	DERIVED_CLASSIFICATION	Allowed_while_the_intrinsic_pair_restriction_remains_exact	Global_removability_connection_and_holonomy_open
Invariant_self_adjoint_complete_lift	DERIVED_CLASSIFICATION	Pair_invariance_forces_invariance_of_its_metric_orthogonal_complement	Screen_response_not_selected
Projection_or_compression_lift	DERIVED_COUNTERCLASS	Can_keep_the_top_left_H_block_while_failing_to_preserve_the_pair	Not_authority_for_physical_pair_mixing
Prior_lower_shift_counterfamily	RETAINED_RESCOPED	Valid_algebraic_coframe_family_but_nonzero_shift_changes_the_founded_pair_metric_restriction_with_positive_screen_metric	Historical_bytes_unchanged
Screen_response	OPEN	Three_self_adjoint_components_or_one_lambda_after_separate_SO2_equivariance	No_lambda_is_selected
Global_pair_subbundle	OPEN	Local_pair_alignment_does_not_supply_observer_path_assignment_section_or_transport	Global_overlap_holonomy_and_cut_locus
Internal_twisted_reciprocal_descent	CONDITIONAL	Does_not_require_a_physical_isometric_exchange_of_causal_lines	Global_bundle_and_selection_open
Physical_reciprocal_line_exchange	REJECTED_IN_ALIGNED_READOUT	An_isometry_cannot_exchange_a_timelike_line_with_a_spacelike_line	Internal_duality_is_a_different_type
Action_source_carrier_boundary_density_bootstrap_mass_dynamics	OPEN	Excluded_from_this_audit	Complete_native_physics

