class_id	object	premises	exact_form	displayed_unfixed_parameters	status	meaning
E01	FOUNDED_LOCAL_PAIR	Reciprocal_c;dual_Reciprocity;composition;declared_local_readout	g_E=diag(-1,+1);H=diag(-1,+1)	0	DERIVED_CONDITIONAL	Clock_and_ruler_are_the_opposite_causal_eigenlines_in_the_supplied_local_pair
E02	SIMULTANEOUS_BASIS_PRESENTATION	E01;S_in_GL2	g_prime=S_transpose_g_E_S;H_prime=S_inverse_H_S	4_basis_presentation	EQUIVALENT_PRESENTATION	Components_may_mix_but_self_adjoint_eigenlines_and_I_equal_2_survive
E03	MIXED_FIXED_OPERATOR_PAIR	H_fixed_diagonal;g_E_offdiagonal_nonzero	g_E=[[A,B],[B,C]];B_nonzero	at_least_1	COUNTERFACTUAL_NOT_ACTIVE	Genuinely_different_metric_operator_pair_not_a_basis_version_of_E01
E04	COMPLETE_METRIC_WITH_FIXED_PAIR_RESTRICTION	E01;one_supplied_nondegenerate_pair	G=[[g_E,W],[W_transpose,Q]];Q-W_transpose_g_E_inverse_W_positive	7_before_complement_change	DERIVED_CLASSIFICATION	Four_cross_terms_and_three_screen_metric_components_are_compatible_with_exact_pair_restriction
E05	LOCAL_ORTHOGONAL_COMPLEMENT_PRESENTATION	E04;local_complement_change_fixing_E	G_equivalent_to_diag(g_E,Q-W_transpose_g_E_inverse_W)	3	DERIVED_LOCAL_PRESENTATION	Cross_terms_can_be_removed_locally_without_moving_E_but_global_connection_or_holonomy_is_not_decided
E06	SELF_ADJOINT_INVARIANT_PAIR_EXTENSION	E01;complete_metric_self_adjoint_response;H_complete(E)_subset_E	H_complete=H_direct_sum_D;D_self_adjoint_on_E_perp	3	DERIVED_CLASSIFICATION	The_orthogonal_complement_is_automatically_invariant_but_its_response_is_free
E07	SCREEN_ROTATION_EQUIVARIANT_EXTENSION	E06;SO2_screen_equivariance	H_complete=diag(-1,+1,lambda,lambda)	1	CONDITIONAL_CLASS	Lambda_is_not_fixed_by_the_founded_pair
E08	TRACE_ZERO_ISOTROPIC_EXTENSION	E07;complete_trace_zero	lambda=0	0	CONDITIONAL_SELECTION	Requires_two_extra_premises_not_derived_from_pair_reciprocity
E09	SELF_ADJOINT_COMPRESSION_ONLY_EXTENSION	fixed_top_left_compression_H;self_adjoint_complete_response	X=[[H,g_E_inverse_B_transpose_Q],[B,D]]	7	DERIVED_COUNTERCLASS	For_B_nonzero_the_pair_is_not_invariant_even_though_the_top_left_block_is_H
E10	LOWER_SHIFT_COFRAME_EXTENSION	positive_screen_metric;first_two_output_slots_fixed	metric_pair=P_transpose_g_E_P+C_transpose_C	4	REQUIRES_C_ZERO_FOR_EXACT_PAIR_METRIC	The_prior_nonzero_lower_shift_family_is_a_projection_or_slot_extension_not_an_exact_metric_restriction_extension
E11	UPPER_SHIFT_METRIC_RESTRICTION_FAMILY	positive_screen_metric;pair_tangent_restriction_fixed	coframe=[[P,D],[0,I]]	4	DERIVED_COUNTERCLASS	Cross_sector_metric_terms_can_exist_while_the_pair_restriction_stays_exact_but_the_complete_coframe_slots_are_not_direct_sum
E12	GLOBAL_FOUNDED_PAIR_BUNDLE	observer_pair_assignment;path_family;transport;overlap_consistency	not_supplied	-	OPEN	Local_alignment_does_not_construct_a_universal_rank_two_subbundle
