path	registered_use	known_limit
CURRENT_SCIENTIFIC_PREMISES.md	current_precedence_for_founded_phi_and_pair_action	does_not_supply_global_pair_assignment
CURRENT_SCIENTIFIC_PREMISES.tsv	exact_premise_status_rows	operational_overlay_not_canon
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founded_pair_action_and_declared_local_physical_metric_readout	complete_extension_profile_and_global_assignment_open
udt_mixed_readout_anchor_soldering_audit_2026-07-20/AUDIT_REPORT.md	exact_mixed_metric_operator_invariant_and_historical_open_solder	its_fixed_q_pinned_by_habit_ruling_predates_current_founded_phi_precedence
udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	complete_triangular_extension_class_and_current_phi_correction	global_physical_selection_open
udt_founded_phi_complete_coframe_extension_audit_2026-07-25/derive_extension_class.py	exact_lower_shift_and_angular_counterfamilies	projection_of_top_left_pair_not_yet_typed_as_metric_restriction_or_invariant_subbundle
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	covariant_local_lift_obstruction_and_ordered_pair_modulus	one_supplied_pair_not_globally_selected
udt_reciprocal_transport_holonomy_atlas_2026-07-26/AUDIT_REPORT.md	conditional_transport_and_holonomy_centralizers	actual_global_structure_unselected
udt_calibrated_reciprocal_readout_descent_audit_2026-07-26/AUDIT_REPORT.md	aligned_vs_swap_isometric_readout_classification	founding_global_alignment_fork_open
udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	local_frame_reciprocity_and_complete_parent_metric_scope	no_global_observer_recentring

