path	registered_use	git_blob	sha256	bytes
CURRENT_SCIENTIFIC_PREMISES.md	current_precedence_for_founded_phi_and_pair_action	1a25dc1d354e0065c527374767f11aa9d06d62de	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491	2493
CURRENT_SCIENTIFIC_PREMISES.tsv	exact_premise_status_rows	ed1de6dd9025b2709ee5127166288fa07411df2e	c05647b1498073b79f2cad56608befd43cb8f0052ea286a39cdb30a00c236ddf	5277
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founded_pair_action_and_declared_local_physical_metric_readout	a8d29384a514f9d3be588dad1818c4c614dc6d70	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	11418
udt_mixed_readout_anchor_soldering_audit_2026-07-20/AUDIT_REPORT.md	exact_mixed_metric_operator_invariant_and_historical_open_solder	e1118b4cc4e4a84b0e1abbe4dfe9abb31b016b2b	40c6816792602176e0fb1ec3d2732e685cfb56ae84432c9c1a17919e6ad49407	4925
udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	complete_triangular_extension_class_and_current_phi_correction	3f134a87767bfeefbe98a8464ba115dfed788239	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783	5790
udt_founded_phi_complete_coframe_extension_audit_2026-07-25/derive_extension_class.py	exact_lower_shift_and_angular_counterfamilies	91e6b9fc4b955d8c33aa7813fc94db781cd90325	35860f84a3947f99ea9e44e68e9883738021f2ddccbc360181f8a4c9d72c994a	7939
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	covariant_local_lift_obstruction_and_ordered_pair_modulus	69f8244a39fb7e01802f29c43dd85e3283ea691b	b338fa5538e54951d3bcea8325b7c3a00940a45b2287805f766bf772ab2713ef	5702
udt_reciprocal_transport_holonomy_atlas_2026-07-26/AUDIT_REPORT.md	conditional_transport_and_holonomy_centralizers	6574a2ed2f5c66f143c4d572e8eb31dc8e5effe3	64ca175da25fbed41531acdcca1106ec6eccc5368178634b1965553296f55f29	6204
udt_calibrated_reciprocal_readout_descent_audit_2026-07-26/AUDIT_REPORT.md	aligned_vs_swap_isometric_readout_classification	00bdf630eafb812f46a1ad8e657d928ca597a912	57969ad46584e58ccb1eb61a45f61237874c8c8114f9d8e038d77bde5bea9a37	5537
udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	local_frame_reciprocity_and_complete_parent_metric_scope	07189dba876b8289ce2201bef0e78d3758c2b5ba	e616102b06e32fbbbc36d189cbc12ff75bec0f4b0341e74192781dd775c81294	8668
