source	load_bearing_statement	current_ruling	impact
CURRENT_SCIENTIFIC_PREMISES.md:3-17	Later_operational_precedence_controls_and_founded_pair_action_is_derived_while_global_assignment_is_open	CONTROLLING	Prevents_reversion_to_older_undefined_or_unsoldered_local_pair_language
CURRENT_SCIENTIFIC_PREMISES.tsv:G01	Phi_is_additive_log_depth_of_reciprocal_pair	CONTROLLING_DERIVED	Pair_identity_not_reopened
CURRENT_SCIENTIFIC_PREMISES.tsv:G02	Phi_maps_to_diag_exp_minus_phi_exp_plus_phi	CONTROLLING_DERIVED	Pair_action_not_reopened
CURRENT_SCIENTIFIC_PREMISES.tsv:G08	Complete_4D_phi_extension_open	CONTROLLING_OPEN	No_global_or_screen_extension_selected
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md:46-62	q_equals_cdt_dr_and_is_a_physical_conversion_pair	FOUNDING	Marks_the_two_channels_before_complete_extension
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md:117-139	transformed_physical_coframe_and_declared_local_Lorentzian_readout_produce_the_metric	FOUNDING_CONDITIONAL_READOUT	Makes_local_alignment_intrinsic_under_the_recorded_readout_premise
udt_mixed_readout_anchor_soldering_audit_2026-07-20/AUDIT_REPORT.md:7-16	Local_authority_did_not_identify_q_with_operational_axes	SUPERSEDED_FOR_LOCAL_PAIR_STATUS	Exact_mixed_family_algebra_survives_but_its_current_physical_authority_does_not
udt_mixed_readout_anchor_soldering_audit_2026-07-20/AUDIT_REPORT.md:21-48	Mixed_modulus_is_a_simultaneous_metric_operator_invariant	RETAINED_EXACT	Supports_inequivalence_of_mixed_and_founded_pairs
udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md:12-40	Founded_pair_action_derived_and_seven_parameter_triangular_extension_class_exists	RETAINED_WITH_SCOPE_REFINEMENT	Nonzero_lower_shift_is_projection_or_slot_extension_not_invariant_metric_pair_extension
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	A_supplied_ordered_pair_has_conditional_complete_lifts_but_no_universal_pair_is_selected	CONSISTENT	Local_intrinsic_alignment_and_global_assignment_open_are_not_contradictory
udt_reciprocal_transport_holonomy_atlas_2026-07-26/AUDIT_REPORT.md	Transport_is_pathwise_after_pair_and_path_data_but_global_holonomy_varies	CONSISTENT	Global_pair_assembly_remains_the_open_gate
udt_calibrated_reciprocal_readout_descent_audit_2026-07-26/AUDIT_REPORT.md	Aligned_pair_and_physical_swap_isometry_are_incompatible;mixed_route_was_left_conditional	SUPERSEDED_ROUTE_STATUS_ONLY	Mixed_route_now_requires_explicit_replacement_of_the_founding_declared_readout

