route_id	question	outcome	grade	conclusion
R01	founding_source_assigns_transformed_pair_to_local_physical_coframe	SUPPORTED	DERIVED_CONDITIONAL	Lines_117_133_apply_the_declared_local_physical_metric_readout_to_the_transformed_pair
R02	founding_source_leaves_local_pair_readout_unassigned	REJECTED_IN_CURRENT_PRECEDENCE	SUPERSEDED_SOURCE_READING	This_was_an_older_July20_reading_not_the_current_founded_pair_status
R03	simultaneous_pair_basis_change_erases_metric_operator_mixing	REJECTED	EXACT	A_valid_basis_change_transforms_both_metric_and_operator_and_preserves_self_adjointness_and_I_equal_2
R04	mixed_metric_with_fixed_diagonal_operator_is_inequivalent	SUPPORTED	EXACT	Mixed_swap_witness_has_I_minus_10_over_3_and_is_not_self_adjoint
R05	full_metric_cross_terms_preserve_exact_founded_pair_restriction	SUPPORTED	EXACT_CLASSIFICATION	Four_cross_block_parameters_are_allowed_when_the_Schur_complement_is_positive
R06	self_adjoint_invariant_pair_has_invariant_orthogonal_complement	SUPPORTED	EXACT_THEOREM	Nondegenerate_invariant_E_implies_invariant_E_perp
R07	projection_or_compression_extension_is_equivalent_to_invariant_pair_extension	REJECTED	EXACT_COUNTERMODEL	Nonzero_mixing_preserves_the_top_left_compression_but_moves_pair_vectors_out_of_E
R08	local_pair_formula_supplies_global_pair_field_and_transport	REJECTED	AUTHORITY_ABSENT	No_observer_path_assignment_global_section_or_transport_is_supplied
R09	global_pair_identity_still_needs_observer_path_assignment_and_transport	SUPPORTED	OPEN_GLOBAL_GATE	Pair_indexed_local_alignment_is_known_but_global_assembly_is_not
R10	complete_extension_selects_unique_screen_response_or_lambda	REJECTED	EXACT_CLASSIFICATION	Three_self_adjoint_screen_components_remain_or_one_lambda_after_separate_SO2_equivariance

