current_path	blob_oid	sha256	size_bytes	last_commit	role	load_bearing_use
UDT_NATIVE_ACTION_COLD_PACKET.md	dbe0292e446291cdc620abfb261447cb9f7d969f	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	13221	c5732bedb7adb337e57cee72e1ea6fce481984e3	FOUNDATION	exact reciprocal metric slot and open angular/time-live fields
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	db2959c45beb48f7417b211039dd8e8c71d2f1ef	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	2886	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	FOUNDATION	positive conformal equivalence
UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	5e2a9692a18dac25f4c8f5ace643fd11e7427e65	ce14075bad1ff4b6ea9b41e35dc6b63dfc5a9ae13478bd57c80b1502f33fb540	2693	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	FOUNDATION	on-shell admissibility wording
CANON.md	a67e518b623c8715679b26d5736c7409e3ffcae3	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011	564ac41c15bb39b778d5b3181eefaf9e903bb275	FINITE_CELL_AUTHORITY	finite cell and static phi seal entries only
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	d6a53296e4827b9e522a602659179f229ddee288	b267fab1bb1b0b356e88315712f6ec6d9925732238e5a7ab90f6af59c25f59ec	13432	9f1a64af0eb7a9c8aa8e8698c40c84df39d0c9c7	FRONTIER	controlling pre-audit status
projective_transport_section_selector_2026-07-19/AUDIT_REPORT.md	daba994184a43c0c5702bc0b45fea309afc1b41a	e111efd8413a7289279bf868cd0fc79359a4378160815597d94388876d53508f	18923	e76d748881e6a091ce367a4c11db640700724bfb	PRIOR_AUDIT	null-gradient and Petrov candidates
projective_transport_section_selector_2026-07-19/STATUS_LEDGER.tsv	0a77a24b7a24d8a07376de4792faece8b3cef232	788f1ccfbaf4fc6fdd76903fc0cd1b2961d2d64d68bfb9f15d81d95f175d9c2b	5865	e76d748881e6a091ce367a4c11db640700724bfb	PRIOR_LEDGER	transport and section statuses
projective_transport_section_selector_2026-07-19/DERIVATION_RESULT.json	66d2e6b975127ed7f9c44b685c6ab8a8185ed4df	1a6d7ec276306084115735b1d4ddee49b24ec64c951e3058281c7aa9d93967d2	7496	e76d748881e6a091ce367a4c11db640700724bfb	PRIOR_ALGEBRA	exact conformal transport and root checks
transverse_reciprocal_realization_selector_2026-07-19/AUDIT_REPORT.md	266ccc71080fcebffbf9e3bcdf63303997a929f6	567994f42ecf608b4d5015d46cb6746067f24d29219a1c5ac9c460c8fd156745	19493	75c62d1a357821d4957588e640ba03f0bc0f285e	PRIOR_AUDIT	reciprocal projective theorem and physical type gate
transverse_reciprocal_realization_selector_2026-07-19/STATUS_LEDGER.tsv	a7725b33d03034730e7dcf3a0ff43311c9eb8104	e3460c54543dbaac2dfb4d6b33e4f23318a8abe00a25645c285214e04138cada	7318	75c62d1a357821d4957588e640ba03f0bc0f285e	PRIOR_LEDGER	transverse realization statuses
null_section_hopfion_metric_audit_2026-07-19/AUDIT_REPORT.md	bab9635818253250df63aec8102cb7e2b85cd70e	af15bf24f994ae43f6d0e54e07b83d83e977aed9fbe88462f582edec89cef618	16135	cc7b08381281fa104661df5b6af9fb030cabac95	PRIOR_AUDIT	null-fiber and Hopf compatibility
null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv	ca0de641261df9251d6e37c3f2f2dda179ae10f8	6f252615f91b41d6ea09eb33fc28c871d45205277c6a584d1fdd02eb4ed9dbcf	7726	cc7b08381281fa104661df5b6af9fb030cabac95	PRIOR_LEDGER	null-section statuses
angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	4104ed440be3efa52456bad89baef710e99ffa67	4e1178a7993a6f3f3e94713df27d0ab8c140b96ef613c5fa09099af72941cb8b	16110	671206e94b9a842a919b014c1dc47ef0713e2964	PRIOR_AUDIT	conditional angular families and cap gate
angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	80b0ce7857cd2936b7f32f55aeee9dac5a0a5e83	d39b40f919c4f1b23b7785c2d5ce0b3cb325620eea7463eff4182082d2211f90	6049	671206e94b9a842a919b014c1dc47ef0713e2964	PRIOR_LEDGER	angular closure statuses
reciprocal_clock_optical_scale_selector_2026-07-19/DERIVATION_REPORT.md	c2cb102e5525867e3ee8d66f37935a6ba30a74d3	ffa24eddfe76eee0ff1b11f463c300f844ebccd82188d85da55c73da467375a3	9936	f1d8f599f81f4491fbdaa4e5889bf62a724de7a7	PRIOR_SELECTOR	static reciprocal null behavior
reciprocal_clock_optical_scale_selector_2026-07-19/STATUS_LEDGER.tsv	e0d1341e6fd815a1e8b44bc5328dfb15204c3a73	21cdac1b5ab6f7e9c39f9c9fc691dc49c0f4bcf14cada55edde4962f8d530b8f	3751	f1d8f599f81f4491fbdaa4e5889bf62a724de7a7	PRIOR_LEDGER	clock optical premise stamps
