item	status	role	limit
Lorentz_metric	SUPPLIED	object reconstructed from pair data	no physical profile selection
calibrated_1plus3_split	SUPPLIED	defines positive spatial block	no universal foliation claim
radial_screen_split	SUPPLIED	defines 1 plus 2 mode decomposition	chart/germ relative
G211_scalar_extraction	DERIVED_CONDITIONAL	removes spatial determinant scale	separate supplied remainder
G207_screen_class	CHOSE_EXTENSION_CLASS	prior pure screen-shape tile	no history selection
G208_mixing_class	CHOSE_EXTENSION_CLASS	prior pure radial-screen mixer	no history selection
G176_completed_normalization	WORKING_FOUNDATIONAL_CLARIFICATION	defines m and determinant-minus-one completed pair	not canon; regular pair only
G129_six_plane_design	CHOSE_SUFFICIENCY_WITNESS	exact rank-ten known-germ control	not unique or physical population
pair_embeddings_and_calibrations	SUPPLIED	needed for reconstruction	not selected here
mode_profiles	OPEN	values of configuration coordinates	not generated by G213
physical_pair_population	OPEN	global observational/physical realization	omitted
X_max_source_action_transfer	OPEN	outside local information audit	omitted
