item	status	role_or_guard
Universal Reciprocity or DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G310	not derived or canonized
quiet GR principal-response overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	bounded response premise
Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	bounded local finite-jet premise
Ric_ab=Lambda g_ab	ACTIVE_BOUNDED_CONDITIONAL_EQUATION	constraint-data arena only
G315 constraints	DERIVED_CONDITIONAL	physical initial-data equations
G316 conformal method	CONDITIONAL_IMPORTED_MATHEMATICAL_METHOD	representation chart, not new physics
G319 regular reconstruction	EXTERNALLY_ACCEPTED_BOUNDED	supplies lawful controls in registered slice
flat marked T3	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	not selected physical topology or ruler
one-coordinate positive periodic psi	FREE_AND_EXPLORED_WITH_REGULARITY	profile family, not fitted
diagonal TT and B-nonzero sign branch	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	other tensor/crossing strata open
p=3/2 and a=1/5	CHOSE_CATEGORY_A_DIAGNOSTIC_CONTROLS	no physical calibration
integer mode n	FREE_AND_EXPLORED_CONTROL_FAMILY	no preferred wavelength
d=0 and Lambda=0	CHOSE_CATEGORY_A_DIAGNOSTIC_CONTROLS	zero values are controls, not selected sectors
J0=100	CHOSE_CATEGORY_A_DIAGNOSTIC_CONTROL	large regular reconstruction constant, not scale or observation
epsilon plus/minus	FREE_AND_EXPLORED_BRANCHES	both reconstructed signs retained
spatial diffeomorphism	QUOTIENT_REPRESENTATION_FREEDOM	cannot define physical distinction
conformal-seed rewriting	QUOTIENT_REPRESENTATION_FREEDOM	same reconstructed physical data are one point
auxiliary W translation kernel	QUOTIENT_REPRESENTATION_FREEDOM	leaves bar L W unchanged
Q_R and K contractions	DERIVED_CONDITIONAL_GEOMETRIC_DIAGNOSTICS	diffeomorphism-invariant characterizers
physical data or history selection	OPEN_NOT_SELECTED	admissibility is not occupancy
source matter mass observation fit scale Xmax	OMITTED_OPEN	no import or calibration
metric and reciprocal kernel	UNCHANGED	no kernel construction in G320
