item	status	use	guard
primary static-spherical areal metric	DERIVED_CONDITIONAL	bounded arena	not full time-live metric
real phi with f=exp(-2phi)>0	FREE_AND_EXPLORED	both signed profile sectors	positive f does not mean positive phi
supplied consistently calibrated endpoint pair	CONDITIONAL	R_pair domain	no event or query selection
R_pair endpoint exchange	DERIVED_CONDITIONAL_G170	delta changes sign	ambient metric fixed
C_phi profile-sign conjugation	MATHEMATICAL_DIAGNOSTIC	compare admitted histories	not a founded physical symmetry
G201 angular amplitudes	DERIVED_BOUNDED	full two-jet channel	no lockstep loudness
G260 residual/angular join	DERIVED_BOUNDED	complete spherical metric	no Einstein-law import
G262 mass aspect	DERIVED_CHANGE_OF_VARIABLES	geometric channel	not physical mass
even/odd projection	MATHEMATICAL_METHOD	classify involutions	not an observable score
c_E	OBSERVED	clock/ruler units	no value or history selection
X_max	OPEN	omitted	no numerical or profile input
observations/source/action/matter	OMITTED	none	no fit or mechanism
