base	path	match_basis	git_blob	disposition	reason
28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	.claude/hooks/corral_trigger.py	TEXT	9020be9a8a3ee77f020534bba6577cadaaad8330	SUPPORTING_NOT_LOAD_BEARING	discovery hit but not required after current authority, exact field code, and banked result sources were selected
28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	.claude/skills/completeness-map/SKILL.md	TEXT	b09b8ae35cec40db4cebd0f16decc8792fb660b2	SUPPORTING_NOT_LOAD_BEARING	discovery hit but not required after current authority, exact field code, and banked result sources were selected
28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	.claude/skills/no-shortcuts/SKILL.md	TEXT	97d546927d6c594c84f9402315d001ea88dc4d8a	SUPPORTING_NOT_LOAD_BEARING	discovery hit but not required after current authority, exact field code, and banked result sources were selected
28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	.claude/skills/solution-space-not-imposition/SKILL.md	TEXT	c43293d62f93e06633466fb1731c96a27686f85b	SUPPORTING_NOT_LOAD_BEARING	discovery hit but not required after current authority, exact field code, and banked result sources were selected
28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	.claude/skills/solver-first/SKILL.md	TEXT	91f635298daaca3ddb35896c187cbf3bd4501a5e	SUPPORTING_NOT_LOAD_BEARING	discovery hit but not required after current authority, exact field code, and banked result sources were selected
28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	AGENTS.md	TEXT	9556b61aa7d04b39eabeae11a4a72b803a52b5b1	SUPPORTING_NOT_LOAD_BEARING	discovery hit but not required after current authority, exact field code, and banked result sources were selected
28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	AUDIT.md	TEXT	6246eafd70861645fce959b4e7fb9c66bae3f07e	SUPPORTING_NOT_LOAD_BEARING	discovery hit but not required after current authority, exact field code, and banked result sources were selected
28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	CANON.md	TEXT	a67e518b623c8715679b26d5736c7409e3ffcae3	SUPPORTING_NOT_LOAD_BEARING	discovery hit but not required after current authority, exact field code, and banked result sources were selected
28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	CLAUDE.md	TEXT	eae6e334fcf36c977ab571201ca9e2ed3a8d5020	SUPPORTING_NOT_LOAD_BEARING	discovery hit but not required after current authority, exact field code, and banked result sources were selected
28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	CODEX_STARTUP_REHEARSAL_2026-07-17.md	TEXT	404039f1ae739de3ce2f35cca06a43d18af6044d	SUPPORTING_NOT_LOAD_BEARING	discovery hit but not required after current authority, exact field code, and banked result sources were selected
28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	COGNITIVE_CORRAL_TRIGGERS_SETUP.md	TEXT	9989eaea43c64a5b900102e4c3a5dc5fe3bda8a3	SUPPORTING_NOT_LOAD_BEARING	discovery hit but not required after current authority, exact field code, and banked result sources were selected
28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	F0_SYSTEMATIC_AUDIT_results.md	TEXT	a2d7ffd103dc82d41922abcf5320bc8c50410f74	SUPPORTING_NOT_LOAD_BEARING	discovery hit but not required after current authority, exact field code, and banked result sources were selected
28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	F2_closure_results.md	TEXT	53531541b574ac240a579a280425adf471974553	SUPPORTING_NOT_LOAD_BEARING	discovery hit but not required after current authority, exact field code, and banked result sources were selected
