claim_id	layer	object	status	load_bearing_basis	dependency_or_limit	maximum_claim
T01	FOUNDATION	positional scalar phi target	NO_HOPF_SECTOR_FROM_SCALAR_ALONE	phi has contractible target R; bounded scalar reparameterizations remain contractible	C0/C1 supplies no additional state target	Metric scalar alone does not carry pi3(S2)
T02	FOUNDATION	normalized dilation gradient	CONDITIONAL_CANDIDATE_NOT_GENERIC	n=grad(phi)/abs(grad(phi)) is undefined at zeros and obeys n-flat wedge dn-flat=0	Needs nonzero gradient plus boundary/flow data; excludes generic S2 textures	Does not derive the existing carrier or a Hopfion
T03	CONFORMAL_KINEMATICS	projective null-line cone fiber	CONDITIONAL_DERIVED_FIBER	In a 4D Lorentzian tangent space a null line has representative k=omega(e0+n) with abs(n)=1; CSN leaves the line unchanged	4D is INHERITED and the Lorentzian readout is POSIT/CHOSE; calling a positive-ray component future additionally requires CHOSE time orientation	Each accepted local conformal-Lorentzian fiber contains a celestial topological/conformal S2 of null lines
T04	CONFORMAL_KINEMATICS	null-direction carrier section	OPEN	A celestial S2 fiber does not select a section, global frame/trivialization, fixed round target metric, transport law, or action	Reciprocity/CSN selects no unique line; current line-realization audit is negative at universal scope	No metric-derived map from the spatial cell to a fixed carrier S2 yet
T05	PARTICLE_CARRIER	round S2 unit-vector carrier	WORKING_POSIT_REOPENED	Owner clarification and C1 explicitly reopen the historical carrier	Not forced by positional dilation, Reciprocity, CSN, finite cell, or bootstrap	All carrier physics remains conditional
T06	TOPOLOGICAL_DOMAIN	local constant-exterior defect ball	CONDITIONAL_HOPF_DOMAIN_AVAILABLE	For a field constant on the boundary of a contractible bulk cube/ball, B3/boundary(B3) is S3	Requires the carrier branch, constant exterior, localization, and fixed boundary class	A carrier-conditional S3-to-S2 Hopf sector is mathematically well defined
T07	GLOBAL_BOUNDARY	physical finite-cell carrier completion	OPEN	C1 fixes static phi parity only and explicitly leaves every other field boundary open	The computational pinned boundary is a solver boundary; current boundary stress is non-negligible	No global/time-live topological conservation theorem follows
T08	REPRESENTATION	July-5 H3 and corrected no-null field space	FULL_3D_HOPF_CAPABLE	Fields have shape 3xNxNxN; derivatives span x,y,z; the code constructs a degree-one Hopf map and Whitehead charge	Original centered derivative had a Nyquist null; corrected no-null energy removes it without changing the continuum functional	The present representation did not exclude a 3D Hopfion
T09	CONFIGURATION	resolved Q approximately 1 toroidal field	OBSERVED_CARRIER_CONDITIONAL	Banked H3 records report a localized torus, Q trending 0.985 to 0.992, and 3D convergence	Large raw field checkpoints are not tracked in the clean checkout, so this audit cannot freshly replay their charge	Existing configuration evidence is not a metric-native carrier derivation
T10	STABILITY	corrected no-null carrier stability	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	Current frontier records positive full U1-orthogonal inertia and finite-slice basin evidence	S2 carrier, L2+L4, fixed box, boundary mask, staticity, and operator premises; not time-live	Static scoped stability survives; dynamical/topological persistence remains open
T11	NATIVE_VERDICT	Hopf sector from exact C0/C1	UNAVAILABLE_FROM_REGISTERED_FOUNDATION	C0/C1 explicitly leave the carrier, full field census, transverse block, topology, action, and other-field boundary data open	A natural S2 fiber is not a selected physical S2-valued field	NATIVE_HOPF_SECTOR_DERIVED is rejected at current scope
T12	OVERALL	3D Hopfion blind-spot hypothesis	EXISTING_3D_HOPFION_NOT_MISSED_HOPF_STRUCTURE_CARRIER_CONDITIONAL	The current particle object and solver are already an explicit 3D Faddeev-Skyrme Hopfion; the overlooked layer is its upstream emergence	No complete action, carrier selector, physical boundary completion, or time-live theorem	Promising bridge clue: seek a metric/CSN-natural section selector, not another imported Hopf action
