current_path	git_blob	sha256	size_bytes	first_commit	first_date	last_commit	last_date	audit_role	provenance_status
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	594542a975cddaf13caf6b2e07a70e934a8bf838	2a9924e91a2597df8841106778227d01a146348a42d226df1dacd014dd6b1600	7599	7983748c0c9a9fe15d15a36d3940602c31418498	2026-07-19T10:36:56-04:00	28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	2026-07-19T10:37:25-04:00	current_frontier	CURRENT_AUTHORITY
UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	6d2d5bacf86cc068d2b3f7eae6f3ff705151c038	6e977717ca028cabaa198dd14a6a97b3b15740e45485d0ab735f3df0326df192	8394	50c02104ffe5d70f8c97aa1077f625b4a76a4f51	2026-07-17T18:55:34-04:00	c5732bedb7adb337e57cee72e1ea6fce481984e3	2026-07-17T21:46:56-04:00	exact_C0	FROZEN_FOUNDATION
UDT_NATIVE_ACTION_COLD_PACKET.md	dbe0292e446291cdc620abfb261447cb9f7d969f	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	13221	50c02104ffe5d70f8c97aa1077f625b4a76a4f51	2026-07-17T18:55:34-04:00	c5732bedb7adb337e57cee72e1ea6fce481984e3	2026-07-17T21:46:56-04:00	exact_C1	FROZEN_FOUNDATION
UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	7c59d775e473df5ea0b59ec0c20312ac7fccfbee	db4a426b021e375fa4bca0d870aaf973de319de3b08072195d001a056630832d	11205	bfa0b9a9371fab0266315bc2bb6845b8a7446a18	2026-07-18T09:43:50-04:00	bfa0b9a9371fab0266315bc2bb6845b8a7446a18	2026-07-18T09:43:50-04:00	selector_status	CURRENT_EVIDENCE
native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	bc30820893a31b1458a1e086eabfef7dd3ed7959	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd	8676	ded310a8e997c0220d35b0620ae1ac4d45b1e106	2026-07-18T09:14:52-04:00	ded310a8e997c0220d35b0620ae1ac4d45b1e106	2026-07-18T09:14:52-04:00	action_carrier_status	FROZEN_EVIDENCE
UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	ab394adfd7174b39383b2d80f745cd772d9833f2	afeecd68e220074f9609a9488b11cf91532cf708785510a492d0e9814fe4eee1	2015	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17T18:12:12-04:00	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17T18:12:12-04:00	owner_carrier_status	CURRENT_AUTHORITY
matter_carrier_provenance_audit_results.md	092aa4d2a1c51dad9a7412b278e755d607273181	1ab8731bde54a5966a0cc8b7c9c859647efde22f54ff6923b972fb7d9d59635d	7364	176081822f7299d133c1b3578716d87fedd1fbd3	2026-07-10T13:34:17-04:00	176081822f7299d133c1b3578716d87fedd1fbd3	2026-07-10T13:34:17-04:00	carrier_provenance	CURRENT_EVIDENCE
archive/native_action_chat_2026-07-14_15/UDT_MUTUAL_DILATION_RESISTANCE_DERIVATION_RESULTS.md	39b7220052445ecd2a46fd55b50ecfc7e0d7a752	8b9b80ae22e1584ec8dab6fdc08e2b1b72238022de49e9916c2b38cf572f9f1e	16526	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17T18:12:12-04:00	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17T18:12:12-04:00	prior_metric_carrier_routes	POST_JULY_ARCHIVED_EVIDENCE
reciprocal_line_realization_selector_2026-07-18/DERIVATION_REPORT.md	16626fe67c98c8ea01a80fdd2f81ba8017dc170b	e05cc6b0f124419104dde530305e1cd3779b5e3f7136f59e2000af67812a948e	14772	b3cd93bd92960b89935b9946b88f2e6017195c99	2026-07-18T22:33:53-04:00	b3cd93bd92960b89935b9946b88f2e6017195c99	2026-07-18T22:33:53-04:00	metric_direction_selector	CURRENT_EVIDENCE
native_hopfion_route_MAP.md	442f4468f74fbb6786c9efc2169c96568b6d4829	360122f58ad563fa0671d4ea09dcd6556a2444686bfb744b316956f50cf01b1b	11982	d8630378f7601425e041173e379da39e8bfd74dd	2026-07-05T01:11:12-04:00	d8630378f7601425e041173e379da39e8bfd74dd	2026-07-05T01:11:12-04:00	historical_hopf_route_map	HISTORICAL_STATUS_SUPERSEDED_PROSPECTIVELY
