family_id	cell_id	cell	status	source_basis
F01	C01	CONFIGURATION_EXISTENCE	CONDITIONAL_NONEMPTY_SCOPED	A01-A11
F01	C02	FIXED_OR_REALIZED_BACKGROUND	CONDITIONAL_STATIONARY_WITNESS	A01-A11
F01	C03	RESPONSE_OR_FUNCTIONAL	CONDITIONAL_REDUCED_JOINT_HESSIAN_OWNED	A01-A11
F01	C04	BOUNDARY_OR_COMPLETION	PARTIAL_CREASE_PARITY_OWNED_HIGHER_GERMS_OPEN	A01-A11
F01	C05	PERTURBATION_DOMAIN	PARTIAL_ZERO_TRACE_CORE_FULL_GERMS_OPEN	A01-A11
F01	C06	EXISTENCE_PRUNING	EMPTY_CLOSED_POSTURES_ROUTED_TO_F06	A01-A11
F01	C07	STATIC_OR_SECTOR_STABILITY	FREE_BRANCH_UNSTABLE_ODD_PIN_CORE_POSITIVE	A01-A11
F01	C08	FULL_CERTIFICATE	OPEN_LAMBDA_SCHUR_AND_FREE_GERM_CURVATURE	A01-A11
F01	C09	TIME_PERSISTENCE	OPEN_NO_NATIVE_TIME_EQUATION	A01-A11
F01	C10	PHYSICAL_FINITE_CELL_COMPLETION	OPEN_PHYSICAL_COMPLETION	A01-A11
F01	C11	BOOTSTRAP_MEMBERSHIP	ABSENT	A01-A11
F01	C12	COMPUTATION_READINESS	CPU_EXACT_CHECK_READY_LAMBDA_SCHUR_ONLY	A01-A11
F02	C01	CONFIGURATION_EXISTENCE	CONDITIONAL_NONEMPTY_CLASS	A01-A11
F02	C02	FIXED_OR_REALIZED_BACKGROUND	CONDITIONAL_LANDING_NOT_JOINT_REALIZATION	A01-A11
F02	C03	RESPONSE_OR_FUNCTIONAL	CONDITIONAL_SECTOR_HESSIAN_OWNED	A01-A11
F02	C04	BOUNDARY_OR_COMPLETION	PARTIAL_CLASS_BOUNDARY	A01-A11
F02	C05	PERTURBATION_DOMAIN	SECTOR_DOMAIN_ONLY	A01-A11
F02	C06	EXISTENCE_PRUNING	NO_EXISTENCE_EXCLUSION_WITHIN_RETAINED_JET_CLASS	A01-A11
F02	C07	STATIC_OR_SECTOR_STABILITY	EXACT_CONTINUOUS_SECTOR_DICHOTOMY	A01-A11
F02	C08	FULL_CERTIFICATE	SECTOR_ONLY_NOT_FULL_CERTIFICATE	A01-A11
F02	C09	TIME_PERSISTENCE	OPEN_NO_NATIVE_TIME_EQUATION	A01-A11
F02	C10	PHYSICAL_FINITE_CELL_COMPLETION	OPEN_PHYSICAL_COMPLETION	A01-A11
F02	C11	BOOTSTRAP_MEMBERSHIP	ABSENT	A01-A11
