catch_id	catch	status
K01	missing_family	REJECTED
K02	duplicate_family	REJECTED
K03	missing_cell	REJECTED
K04	duplicate_cell	REJECTED
K05	missing_premise	REJECTED
K06	missing_dependency	REJECTED
K07	missing_development_row	REJECTED
K08	blocked_mislabeled_abandoned	REJECTED
K09	blocked_family_silently_dequeued	REJECTED
K10	working_queue_rank_promoted_to_physics	REJECTED
K11	candidate_ceiling_drop	REJECTED
K12	unproved_unique_root_smuggle	REJECTED
K13	Galerkin_scope_broadened	REJECTED
K14	F01_full_certificate	REJECTED
K15	F01_scope_drop	REJECTED
K16	F02_discrete_promotion	REJECTED
K17	control_promotion	REJECTED
K18	carrier_promotion	REJECTED
K19	Hopf_time_promotion	REJECTED
K20	ring_stability_smuggle	REJECTED
K21	empty_to_instability	REJECTED
K22	formal_to_realized	REJECTED
K23	bootstrap_selection	REJECTED
K24	F02_solve_promotion	REJECTED
K25	Hopf_gpu_promotion	REJECTED
K26	ring_solve_without_response	REJECTED
K27	empty_gpu_promotion	REJECTED
K28	formal_gpu_promotion	REJECTED
K29	F01_domain_promotion	REJECTED
K30	invented_time_equation	REJECTED
K31	erase_cpu_candidate	REJECTED
K32	solve_smuggle	REJECTED
K33	gpu_smuggle	REJECTED
K34	time_smuggle	REJECTED
K35	bootstrap_smuggle	REJECTED
K36	computation_smuggle	REJECTED
K37	wrong_outcome	REJECTED
