object	status	exact_scope
full_screen_response	DERIVED_GIVEN_REGISTERED_COMPLETE_S3_FAMILY	area_rotation_gauge_two_shears_and_remaining_screen_anholonomy_retained
full_curvature	DERIVED	36_rows_all_6_blocks_under_5_independent_closure_equations
mixed_sector_presence	OBSERVED	14_depth_screen;26_depth_contact;15_screen_contact;12_shear_contact_rows
contact_pair_q	DERIVED_GIVEN_REGISTERED_REDUCTION	q=(t0,t1)
contact_norm_q2	DERIVED_GIVEN_REGISTERED_REDUCTION	O11xO2_invariant;t1_squared_minus_t0_squared
contact_differential	DERIVED_GIVEN_REGISTERED_REDUCTION	off_null_dphi_wedge_dlog_sqrt_abs_q2=-dphi_wedge_dsigma
null_contact_stratum	OPEN	q2_zero_log_undefined
complete_frame_descent	NOT_DERIVED	pair_screen_changing_local_transform_changes_q2
Riemann_tensor	DERIVED	full_frame_covariant
scalar_curvature	DERIVED	full_frame_invariant_but_contact_entangled_not_selected
split_curvature_contractions	CONDITIONAL	require_registered_or_selected_pair_screen_projectors
complete_S3_witnesses	CHOSE_EXISTENCE_CONTROL	off_shell_not_physical_selection
action_carrier_source_density_bootstrap_mass_matter	OPEN	not_inferred
