id	object	fail_closed_condition
F01	source_identity	any_frozen_source_path_blob_size_or_sha256_changes
F02	full_screen_space	any_area_shear_or_rotation_slot_is_silently_removed
F03	curvature_census	any_nonzero_curvature_or_mixed_sector_is_filtered_from_the_census
F04	closure_normal_form	raw_monomial_identity_is_promoted_to_tensorial_without_pivot_independence
F05	connection_typing	connection_coefficient_is_called_a_tensor
F06	screen_gauge	SO2_or_reflection_ruling_is_asserted_without_exact_transformation_check
F07	pair_only_boost	pair_boost_result_is_generalized_to_pair_screen_mixing
F08	ansatz_exit	leaving_block_screen_chart_is_called_physical_inconsistency
F09	full_descent	split_relative_object_is_called_complete_frame_natural
F10	global_witness	formal_jet_nonzero_is_called_realized_without_complete_smooth_witness
F11	reference_scale	changing_D0_or_T0_changes_non_exact_content
F12	physics_promotion	action_carrier_source_density_mass_matter_or_bootstrap_selection_is_inferred
F13	independence	production_and_verification_share_the_same_load_bearing_implementation
F14	scope	bounded_source_family_is_called_repository_wide_or_physical_complete
