path	role	git_blob	bytes	sha256
CURRENT_SCIENTIFIC_PREMISES.md	foundational_claim_precedence	1a25dc1d354e0065c527374767f11aa9d06d62de	2493	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491
CURRENT_SCIENTIFIC_PREMISES.tsv	machine_premise_precedence	f923b077483c2d2ab5fde2697a6e63649d027dc6	6798	69342e40bc69cb89022efa8a3c68db63214040e3efe0f001278d995cd4c7ec0f
verify_current_scientific_premises.py	premise_guard	0ce0b8d84ea2baed2ef291337cbdbdf7dc6b98a3	5889	61758cf09d0d70c3ac1dd0ff52a7dc9f9976d13102a9285acb1868ef96940678
udt_complete_cell_cartan_alternating_production_review_2026-08-02/AUDIT_REPORT.md	cold_review_ruling	95ba547d6229da17441eacff623f59a0f54417ba	2071	fa370ec164227a82d94ffb68fa078792190498f7a5a9220be9d3a75e7ff5afb1
udt_complete_cell_cartan_alternating_production_review_2026-08-02/CORRECTION_LAYER.md	corrected_contact_and_curvature_scope	7692981c4b4df655455f7f337d344cf7e698e01f	2270	512c5f082ff2bac79c3fc2ec6cf94bbd388a399e30a19e28bfd6021fae97f43a
udt_complete_cell_cartan_alternating_production_review_2026-08-02/CORRECTION_RESULT.json	corrected_machine_result	e1145055a3111609d201c3acd74980fdb6441960	3027	2765794c60f240702211ebf201f7bb79658caf80e92a6365f060383460c6e58c
udt_complete_cell_cartan_alternating_production_review_2026-08-02/CORRECTED_CURVATURE_MIXED_CENSUS.tsv	isotropic_control_full_mixed_census	871bf180eb6c28cb2c0bbfd69acb96294b519bf4	1903	d19c69c305c1dfa9d5b53274b72c24e76e8c6d6e283177b13232ddf3961d91ba
udt_complete_cell_cartan_alternating_production_review_2026-08-02/STATUS_OVERLAY.tsv	corrected_status_authority	34d3fb705ea020dc613a73eb50f44d0216436505	796	50a19e0f20c4328ef53441cbe7f6e24e3c936af9b89ec65ade0fa2c13e174134
udt_complete_cell_cartan_alternating_production_review_2026-08-02/PACKAGE_MANIFEST.sha256	immutable_review_package_identity	e51ed717be6c921132241d637bfbdefe653e1e40	3369	a4c240f1ce4c4ca395530fa24d44b739614d92716ae57985408e2546cd880479
udt_complete_cell_cartan_alternating_production_audit_2026-08-02/EXACT_DERIVATION.md	parent_contact_and_curvature_derivation	4a64d18938744e5cacc7e8500a34d5ad2e8a3908	7024	7303cedf1642a8f10c63c77065d6d2e60806702e238841dfbcae5f04cb5ed563
