route_id	candidate	logical_type	owned_status	nonidentity_status	known_effect	G233_gate	bounded_verdict
A1	quiet overlap plus smooth center plus analytic regularity	invariant family restriction	DERIVED_CONDITIONAL on supplied primary arena	YES but weak	removes many profiles while G204 leaves every odd n>=3 and positive a,r0	cannot close unrestricted function	SURVIVES_AS_NECESSARY_RESTRICTION_NOT_SELECTOR
A2	G204 even-areal finite family	finite family closure	CHOSE	YES by declaration	finite state closes after family is supplied	would reject twins by family membership only	CONDITIONAL_CONTROL_NOT_OWNED_SELECTION
A3	all-germ coincidence two-jet isotropy / constant sectional curvature	invariant family restriction	CONDITIONAL_NOT_UDT_OWNED	YES	forces e^-2phi=1-Kr^2 in primary spherical chart	can beat finite-jet ambiguity only after extra isotropy premise	MATHEMATICALLY_VALID_UNOWNED_CONTROL
B1	geodesic completeness plus global hyperbolicity	global metric admissibility	DERIVED_CONDITIONAL for supplied families; not founding selector	YES on broad complete arena but weak on G204	all registered G204 parameters survive	no registered twin discrimination	GENUINE_GLOBAL_TEST_NOT_PROFILE_OWNER
B2	completed-pair overlap descent and cocycle composition	global relation compatibility	DERIVED_CONDITIONAL evaluator identity	NO on compatible valuations	transports and reconstructs supplied values	accepts arbitrary compatible valued profiles	EVALUATOR_NOT_SELECTOR
B3	valued full relation-network reconstruction	global relation state	DERIVED_CONDITIONAL reconstruction	NO value generation	faithfully encodes supplied metric	consumes the function-valued data it reconstructs	ENCODER_NOT_GENERATOR
B4	screen/full-phase holonomy	global path-labelled relation data	DERIVED_CONDITIONAL evaluator	NO until a holonomy condition/value is prescribed	distinguishes supplied paths and histories	no physical transport or target holonomy owned	EVALUATOR_NOT_SELECTOR
B5	co-presence as common-solution membership	global semantics	WORKING	NO current tensor or equation	asserts membership only	accepts every supplied solution member	SEMANTICS_NOT_NONIDENTITY_LAW
C1	turn on common scale screen mixing shift and volume	full metric arena	CHOSE_EXTENSION_CLASSES with derived conditional response	NO selector by activation alone	adds independent functions; some global subclasses survive and some fail	does not determine primary phi or new sector functions	ARENA_NOT_SELECTOR
C2	cross-sector time-live/nonspherical closure	must reduce to A or B	OPEN	UNKNOWN	could constrain all instruments if a real relation is found	must reject a preregistered supplied extension independently	LIVE_ROUTE_ONLY_AFTER_CONDITION_IS_NAMED
D1	finite observational anchors	calibration	OBSERVED inputs with conditional use	NO on unrestricted smooth function	can set constants inside an independently justified finite family	finite anchor jets admit counterfamilies	CALIBRATOR_NOT_FAMILY_DERIVATION

