item	status	role_in_G234	guard
primary static-spherical areal metric	CONDITIONAL supplied arena	bounded one-function profile map	not the whole complete metric solution space
founded reciprocal character	DERIVED on supplied ordered depth	evaluates supplied depth	does not generate phi(r)
completed-pair Dual Reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	terminal normalization after full pullback	not canon and not profile selection
quiet overlap jet	DERIVED_CONDITIONAL	necessary local profile restriction	not unique history
smooth center and G204 regularity	DERIVED_CONDITIONAL	necessary global restriction plus survivor witness	G204 family itself is CHOSE
G205 completeness and global hyperbolicity	DERIVED_CONDITIONAL	global admissibility test on supplied family	not founding postulate or parameter selector
all-germ isotropy / space-form condition	CONDITIONAL_NOT_OWNED	positive smaller-family control	not implied by Reciprocity or co-presence
G206-G210 extra metric sectors	CHOSE_EXTENSION_CLASSES with DERIVED_CONDITIONAL evaluators	full-arena completeness map	activation does not select sector functions
valued completed-pair network	DERIVED_CONDITIONAL faithful state	encodes supplied metric values	does not generate values from anchors
overlap and composition	DERIVED_CONDITIONAL compatibility	carries supplied values	identity on compatible networks
holonomy and phase	DERIVED_CONDITIONAL path evaluators	retain non-scalar global information	no selected transport or prescribed value
co-presence	WORKING solution membership	semantic candidate only	currently no nonidentity metric predicate
c_E and G_obs	OBSERVED	possible calibration anchors	no profile law or length from c_E and G_obs alone
observational anchors	OBSERVED	may calibrate declared finite family	cannot derive unrestricted smooth profile
X_max	WORKING_FOUNDATIONAL_FRAME excluded	none	not a kernel or profile input
action source matter bootstrap transfer fit	OPEN or CONDITIONAL excluded	none	no imported mechanism
protected local packages	PROTECTED excluded	none	not inspected cited or modified

