role	path	sha256
ADOPTION_SCOPE	startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md	ebeae075307e7a325a840f4c2d9dcd973c18d9a3be21e6e6eccacce1ae8856f1
GEOMETRIC_BIANCHI_VACUUM	udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/EXACT_DERIVATION.md	7bf8dd3b081ff0d37ee23c8ea462abc451f9f4a3510283ea5e9ef87dd042b6bf
OWNER_PROVISIONAL_MEASURE	udt_g351_source_free_labelwise_carried_measure_conservation_2026-09-05/EXACT_DERIVATION.md	37bd938dc488c305e43c3e1b414e1b40e489bf7fa23dd6453ce3118c953ea317
CHOSEN_CONTINUOUS_READOUT	udt_g352_clock_rate_carried_measure_readout_2026-09-05/EXACT_DERIVATION.md	70aac9b85acb797cba41caa8dad9d567174b8031e853de8189a074e929e51b0d
BANKED_EXACT_SCOPES	udt_g367_g369_conditional_banking_2026-09-08/BANKING_RECORD.md	08b7033ac53bd910f718fd827bfb457e5bcc4bd198feb443335b6845a6f583a3
SM1_FULL_ARGUMENT	udt_source_metric_connection_campaign_2026-09-08/step_01/CANDIDATE_INITIAL.md	b9c883ebb807ea2aea6b6bc7487d407cc218a04c0c8852426ffa899a99dd7e8d
SM1_REVIEWED_SCOPE	udt_source_metric_connection_campaign_2026-09-08/step_01/REVIEWED_RESULT.md	74a47c48adb2381f26df3dbe82cac2e28e4aac39a05e9d41ae9e01ce6ff02605
SM1_REVIEW	udt_source_metric_connection_campaign_2026-09-08/step_01/review/ADVERSARIAL_REVIEW_INITIAL.md	55b8e25734f9cf4fdfea6cec39d71386bd7468869b1dbe67003289adb1047554
SM3_FULL_ARGUMENT	udt_source_metric_connection_campaign_2026-09-08/step_03/CANDIDATE_INITIAL.md	7178ad76d6fb20d7b590b65ffc5a3dc7133c22e7ca612b38375322b8d5b5b009
SM3_REVIEWED_SCOPE	udt_source_metric_connection_campaign_2026-09-08/step_03/REVIEWED_RESULT.md	6753f6e8747b6bb5688ba2066b5ad499a62b7b794dbe32b24f852bbd1263df62
SM3_REVIEW	udt_source_metric_connection_campaign_2026-09-08/step_03/review/ADVERSARIAL_REVIEW_INITIAL.md	273b0827da26bd8def82b576945e711f5db343a2ec243ad4f1ef3a7c1a1bcde0
EXACT_REGISTRY	CURRENT_SCIENTIFIC_PREMISES.tsv	629735b28289e75998b00ff491bca123e6a995c8310980c6dc785f1829f8a31c
METHOD_CAPTURE_NOT_PREMISE	udt_shared_readout_metric_constraint_campaign_2026-09-06/run_capture.py	8ff5469ace76bdfc84188915242abbf3baff35516f9ee3f9ba4b1cbfeb2573ef
