consumer	package/file	premise_entry_loci	rides_what	fall_hardness_if_mirror_CHALLENGED	regrade_owed
Route P seal-parity (eps_lambda=-1, eps_kmod=-1, constant pins lambda=0/k_mod=0)	udt_p4_routeP_seal_parity_2026-07-29 (ea5d8a3)	EXACT_DERIVATION.md:56-72 (P0 CANON fold; P1 transcription; P2 typed); :133-134 (eps_lambda P0+P1 only; eps_kmod under P2); routeP_results.json:302 (eps_phi canon-definitional)	MIRROR-CLOSURE entirely (parities ARE the fold's action)	FALLS	restamp every parity as CONDITIONAL-ON-MIRROR(+P2); withdraw the det-one/E07 constant-census landing as unconditional; P0 re-typed OWNER-RATIFIED-PROPOSAL
Angular completion (selector; joint unsatisfiability; E0-collapse conditional)	udt_p4_angular_completion_2026-07-30 (5978573)	EXACT_DERIVATION.md:60 (R-A typed not derived; "Without R-A all S-B/S-D conclusions are VOID"); :22-24,:128 (joint unsat); AUDIT_REPORT.md:50-53 (E0=0 every realized outcome)	MIRROR-CLOSURE (R-A = fold as point involution; R-C crease reading)	FALLS (core); E0-collapse conditional INVERTS (not-R-A becomes live => massive-landing survival branch)	restamp S-B/S-D VOID-unless-mirror; carry not-R-A as default branch; the unsatisfiability finding remains as a fact ABOUT the premise (evidence in the adjudication)
Gradient seat (lock-emergence theorem; massive-landing class)	udt_p4_gradient_seat_2026-07-29 (f521222)	EXACT_DERIVATION.md:67-68,:84 (Route-P ladder travels); :150-153 (v=-v => v=0 lock); :208-210 (definite parity collapses E0)	MIRROR-CLOSURE for lambda/k_mod odd-forcing; f/bh SUPPLIED (both ways)	DEGRADES-TO-CONDITIONAL (lambda/k_mod legs FALL with Route P; jet/atlas machinery mirror-free)	restamp lock-at-zero + massive-class conditions CONDITIONAL-ON-MIRROR; f/bh supplied legs unchanged
Slice-2 (solution atlas; canon-parity trace loci)	udt_p4_routeA_slice2_solution_legs_2026-07-29	EXACT_DERIVATION.md:68 (eps_phi=-1 THEORY-cite canon); :250-257 (odd p0-trace forces wall intercept 0)	MIRROR-CLOSURE (theory-cited parity lever)	DEGRADES-TO-CONDITIONAL	stamp parity-trace legs CONDITIONAL-ON-MIRROR; atlas/emergent-profile legs unchanged
Slice-2b (full-cell atlas; bookkeeping theorem; v_p slot-kill)	udt_p4_routeA_slice2b_full_cell_2026-07-29	EXACT_DERIVATION.md:68; :178 (v_p slot parity-killed); :269 (canon eps_phi=-1 kills v_p slot)	MIRROR-CLOSURE for slot-kill; E0-census legs independent	DEGRADES-TO-CONDITIONAL (massless theorem has separate E0 support; cut counts reopen)	stamp slot-kill + cut-count rows CONDITIONAL-ON-MIRROR
Reduction theorem (R2 = census fork; S3 parity lever)	udt_p4_bookkeeping_forcing_2026-07-29 (38577c9)	EXACT_DERIVATION.md:61 (eps_m NOT derived - SUPPLIED); :149 (S3 PERMITS-BOTH-CONDITIONAL; canon derives eps_phi=-1 only)	mirror = already-conditional lever only	UNAFFECTED (fork stays OPEN both ways as banked)	none owed; S3 lever inherits the new mirror tag if used later
Stage-1 census parity rows	native_action_stage1_2026-07-18/arm_B/cold_output/D0_D5.md	:29,:38,:61 (odd parity at seal CANONIZED BINDING INPUT); :343-359,:431 (parity fixes phi|_Sigma not B[phi] - UNDERDETERMINED); :447	MIRROR-CLOSURE gives boundary datum only; finiteness separate	DEGRADES-TO-CONDITIONAL (datum); OPEN verdicts UNAFFECTED	stamp phi|_Sigma=0 rows CONDITIONAL-ON-MIRROR
Fold-JC bank (phi(r_s)=0; rho'(r_s)=0; flux seal q; budget identity; E_m(r_c)=2) + C-2026-07-02-1	universe_cell_fold_jc_sigma_results.md	:14 (canon phi->-phi input); :25-26 (canon-anchored continuity); :31-32 (mirror-image assumption = closed-cell premise; fork recorded)	MIRROR-CLOSURE as input (theorems GIVEN the fold)	DEGRADES-TO-CONDITIONAL (survive as conditional structure; escape fork already on record)	stamp CONDITIONAL-ON-MIRROR; re-grade Delta-phi convention as convention-given-fold
Seal chain / C-2026-07-04-1 sector split	seal_junction_condition_results.md:6,:50-52; node05_seal_parity_regrade_results.md:38-40,:73-75	existence of involution inherited from C-2026-06-10-2 at every link	MIRROR-CLOSURE	DEGRADES-TO-CONDITIONAL (allocation theorems given a fold)	canon entry keeps CLARIFICATION status but inherits root tag
Even inner fold (core natural BCs; C-2026-07-03-3 derived content)	universe_cell_fold_jc_sigma_results.md:37-40; microphysics_E1_composite_closure_results.md	stationarity ALONE pins phi'(r_c)=rho'(r_c)=0	neither (regularity/free-endpoint, not reflection)	UNAFFECTED	none
