id	R1_CSN_CLASS	R2_DISTINGUISHES_REP	R3_EQUATION_OR_CLOSURE	R4_NONCIRCULAR	R5_COMPLETE_COFRAME	R6_CLOCK_NOT_ANSATZ	R7_REMOVES_DEGENERACY	result
C01	YES	NO	NO	YES	YES	NO	NO	FAIL_QUOTIENT_NOT_SECTION
C02	COMPATIBLE	NO	BOUNDARY_DATA_ONLY	YES	PARTIAL	NO	NO	FAIL_ENDPOINT_FLAT_ORBIT
C03	RATIO_ONLY	RATIO_PROFILE_ONLY	YES_CONDITIONAL	YES_WITHIN_CANON_AXIOMS	AREAL_SIMPLE_METRIC_ONLY	NO	NO_COMMON_SCALE	FAIL_FOR_REPRESENTATIVE; PASS_FOR_PROFILE
C04	NO_LOCAL_CSN	YES_IF_SUPPLIED	YES	NO_NATIVE_ORIGIN	STATIC_SPHERICAL	ANSATZ_CLOCK	YES_IN_GAUGE_ONLY	UNIQUE_CONDITIONAL_POST_SCALE
C05	COMPATIBLE	NO	NO_CURRENT_FUNCTIONAL	YES	COMPLETE_SOLUTION_WORDING_ONLY	NO	NO	FAIL_ON_SHELL_ONLY
C06	YES_DIMENSIONLESS	DIMENSIONLESS_BRANCH_ONLY	CONDITIONAL_FIXED_POINT	CONDITIONAL_ON_OPEN_RESPONSES	COMPLETE_SOLUTION_PLACEHOLDER	NO	NO_HOMOTHETY	FAIL_FOR_SCALE
C07	POSSIBLE	POSSIBLE	NOT_SUPPLIED	OPEN	OPEN	OPEN	OPEN	OPEN_MISSING_OBJECT
C08	COMPATIBLE	NO_VALUE	POSIT_NOT_EQUATION	YES_AS_TARGET	GLOBAL_ONLY	NO	NO	FAIL_VALUE_ORIGIN_OPEN
C09	YES_RATIO	NO_COMMON_SCALE	YES_CHOSEN_GROUP	CONDITIONAL_PROJECTIVE_JOIN	NO_COMPLETE_METRIC	NO	NO_HOMOTHETY	FAIL_FOR_REPRESENTATIVE
C10	YES	NO_EQUIVALENCE_ORBIT	FRAME_MAP_NOT_SELECTOR	CONDITIONAL_INPUTS	DECLARED_FAMILY_ONLY	CHOSEN_FRAME	NO	FAIL_EQUIVALENCE_WITNESS
C11	YES_IN_DECLARED_ORBIT	NO	PULLBACK_GEOMETRY_ONLY	CONDITIONAL_INPUTS	BOUNDED_COFRAME	CHOSEN_TRAJECTORY	NO	FAIL_FRAME_COVARIANCE_ONLY
C12	POST_SCALE_ANCHORS	NO	NO_LENGTH_EQUATION	YES	NOT_APPLICABLE	NO	NO	FAIL_DIMENSION_COUNT
C13	COMPATIBLE	NO_CURRENT_CENTER	PREDICATE_ONLY	YES	COMPLETE_SOLUTION_TARGET	NO	NO	FAIL_ADMISSIBILITY_ONLY
C14	COMPATIBLE	NO	BOUNDARY_INVARIANTS	YES	BOUNDARY_AND_OPTICAL_ONLY	STATIC_ANSATZ	NO	FAIL_ENDPOINT_FLAT_ORBIT
C15	REPRESENTATIVE_DEPENDENT	YES_IF_VALUE_FIXED	NO_TARGET_VALUE	NO_CURRENT_VALUE	SPATIAL_ONLY	NO	POTENTIAL	OPEN_NOT_SUPPLIED
C16	OPEN	POSSIBLE	NOT_SUPPLIED	OPEN	WOULD_BE_REQUIRED	OPEN	OPEN	OPEN_MISSING_SECTOR
C17	POST_SCALE	POSSIBLE_GLOBAL_ONLY	NOT_SUPPLIED	YES_IF_NATIVE	GLOBAL_PLACEHOLDER	NO_LOCAL_CLOCK_MAP	NO_LOCAL_OMEGA	OPEN_FUTURE_GLOBAL_ROUTE
