id	path	authority	current_affirmative_use	selector_ruling
R01	CANON.md	OWNER_CANON	YES_SCOPED	WR-L residual/profile selection under named simple-metric axioms; explicitly leaves absolute X free.
R02	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	FOUNDING_LOCKED	YES	Defines the local conformal equivalence class and requires scale emergence; supplies no representative.
R03	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	OWNER_WORKING	YES_WORKING	On-shell complete-universe admissibility and narrow window; center width action and map absent.
R04	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	CURRENT_SELECTOR_EVIDENCE	YES	Representative selection and variation placement are explicitly open.
R05	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	CURRENT_NAVIGATION	YES	Controls present open statuses through newer overlays.
R06	UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	OWNER_CLARIFICATION	YES	Universal existence is working posit; origin value and mass closure are open.
R07	archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_DERIVATION_RESULTS.md	POST_FIREWALL_ARCHIVED_PROVISIONAL	ALGEBRA_AND_NEGATIVE_CONTROL_ONLY	Correctly exhibits the CSN X orbit and need for a normalized global datum; not independently banked authority.
R08	archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_DERIVATION_RESULTS.md	POST_FIREWALL_ARCHIVED_PROVISIONAL	ALGEBRA_AND_NEGATIVE_CONTROL_ONLY	Boundary primitive variation class and charge remain underdetermined.
R09	archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_DERIVATION_RESULTS.md	POST_FIREWALL_ARCHIVED_PROVISIONAL	ALGEBRA_ONLY	Dimensionless fixed-point architecture is homogeneous and conditional on open mass/volume responses.
R10	archive/native_action_chat_2026-07-14_15/UDT_WRL_SOLUTION_SPACE_CLOSURE_DERIVATION_RESULTS.md	POST_FIREWALL_ARCHIVED_PROVISIONAL	ALGEBRA_ONLY	Clock-curvature and inverse profile algebra; explicitly not an independently derived equation.
R11	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	CURRENT_VERIFIED_WITH_CAVEATS	YES	Separates fold and wall; X to Xmax join and terminal/global boundary remain open.
R12	asymptotic_boundary_lineage_audit_2026-07-19/GLOBAL_CLOSURE_EQUATION_LEDGER.tsv	CURRENT_VERIFIED_WITH_CAVEATS	YES	Physical representative native mass and homothety-break equation explicitly open.
R13	bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md	CURRENT_SCOPED_EVIDENCE	YES	CSN identity and bootstrap admissibility do not supply local phi-angular or representative selector.
R14	bootstrap_variation_selector_2026-07-18/DERIVATION_REPORT.md	CURRENT_SCOPED_EVIDENCE	YES	Representative map Sigma and off-shell bootstrap role are absent.
R15	bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	CURRENT_SCOPED_EVIDENCE	YES	Machine-readable OPEN representative and bridge statuses.
R16	clock_curvature_selector_audit_2026-07-19/AUDIT_REPORT.md	IMMEDIATE_CURRENT_EVIDENCE	YES	Clock-curvature selects WR-L conditionally but is not locally CSN covariant or natively supplied.
R17	clock_curvature_selector_audit_2026-07-19/STATUS_LEDGER.tsv	IMMEDIATE_CURRENT_EVIDENCE	YES	Machine-readable conditional selector ruling.
R18	native_boundary_generator_scale_audit_2026-07-19/AUDIT_REPORT.md	CURRENT_VERIFIED_WITH_CAVEATS	YES	Boundary flux charge normalization and absolute scale remain open; homogeneous mass/X pair rank one.
R19	reciprocity_offshell_constraint_selector_2026-07-18/DERIVATION_REPORT.md	CURRENT_SCOPED_EVIDENCE	YES	Reciprocal unit product fixes representative gauge; reciprocal depth is the neutral ratio.
R20	simple_metric_L_wall_regularity_closure_results.md	CANON_SUPPORT_EVIDENCE	YES_THROUGH_CANON_SCOPE	Supports WR-L wall profile selection, not common-scale representative or absolute X.
R21	simple_metric_WR_L_center_recenter_exclusion_results.md	CANON_SUPPORT_EVIDENCE	YES_THROUGH_CANON_SCOPE	Exact global recentering versus center regularity fork/ruling; not a CSN section theorem.
R22	udt_premise_reset_audit_2026-07-19/AUDIT_REPORT.md	CURRENT_CORRECTION_AUTHORITY	YES	Withdraws Xmax observer-frame physics and reasserts Xmax as global output.
R23	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv	CURRENT_OWNER_MEANING	YES	Xmax global output and scale-layer meanings control.
R24	udt_premise_reset_audit_2026-07-19/PACKAGE_REGRADE.tsv	CURRENT_CORRECTION_AUTHORITY	YES	All four Xmax packages retain conditional algebra but lose current physical interpretation.
R25	xmax_accelerating_finite_cell_cartan_2026-07-19/AUDIT_REPORT.md	ALGEBRA_VALID_PHYSICS_WITHDRAWN	CONDITIONAL_MATH_ONLY	Pullback curvature does not select Xmax value cell or representative.
R26	xmax_dynamic_observer_frame_2026-07-19/AUDIT_REPORT.md	ALGEBRA_VALID_PHYSICS_WITHDRAWN	CONDITIONAL_MATH_ONLY	Moving-frame orbit assumes unresolved phi observer action and symbolic Xmax.
R27	xmax_full_frame_realization_2026-07-19/AUDIT_REPORT.md	ALGEBRA_VALID_PHYSICS_WITHDRAWN	CONDITIONAL_MATH_ONLY	Conditional homothety is an equivalence witness; physical position/seal join and Xmax value open.
R28	xmax_reciprocity_audit_2026-07-19/AUDIT_REPORT.md	ALGEBRA_VALID_PHYSICS_WITHDRAWN	CONDITIONAL_MATH_ONLY	Fractional-linear reciprocity exact within chosen premises; full metric angular scale closure absent.
R29	xmax_reciprocity_audit_2026-07-19/STATUS_LEDGER.tsv	ALGEBRA_VALID_PHYSICS_WITHDRAWN	CONDITIONAL_MATH_ONLY	Already records at most global normalization and no local Omega selection.
