path	blob	sha256	size_bytes	matched_tokens	source_class	initial_disposition
.claude/skills/completeness-map/SKILL.md	b09b8ae35cec40db4cebd0f16decc8792fb660b2	8c32d77f33490750c20f9df121917ac4513cefe7662867bc61ea01f70c7c6e13	2262	FINITE_CELL	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
AGENTS.md	11df5ae6be1ba0fcf97a8e79d0b3c835279f0b37	ec77da04656188569977f6810735195da466ad02cf8332c1cc03db0757e83529	11102	BOOTSTRAP;FINITE_CELL;WRL	CONTROL_OR_CANON	CONTEXT_CANDIDATE
ANGULAR_TORIC_HANDOFF_UPDATE_PREREG_2026-07-19.md	bc4d50d9a2283f3665ed985e3a96c38c24bd36da	19f24688b7c7921ad991781096b4054e826b679380564f51f00c9bb60530b058	2269	CSN;FINITE_CELL;BOUNDARY_ACTION	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
AUDIT.md	6246eafd70861645fce959b4e7fb9c66bae3f07e	0e36df7cbd2e2198fa1a9785f6c8d9b5054fc42b24a1dfb1a44244ca331942ec	38255	CLOCK	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
CANON.md	a67e518b623c8715679b26d5736c7409e3ffcae3	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011	FINITE_CELL;CLOCK;WRL;ANGULAR;SCALE;XMAX_RECIPROCITY	CONTROL_OR_CANON	LOAD_BEARING_CANDIDATE
CLAUDE.md	eae6e334fcf36c977ab571201ca9e2ed3a8d5020	25838399458a34573fb4bc9dd4a211de8142eabb682ba382822aad57ba019b45	24250	FINITE_CELL;ANGULAR	CONTROL_OR_CANON	CONTEXT_CANDIDATE
CODEX_ZERO_CONTEXT_STARTUP_REHEARSAL_2026-07-19.md	56017ccdfe9295421e3ba7fa397f13e9a5fb3db4	941540d5763f876439836406188419cbdb55d794500eb464f98f03a81bdf1ee5	5522	FINITE_CELL	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
COGNITIVE_CORRAL_TRIGGERS_SETUP.md	9989eaea43c64a5b900102e4c3a5dc5fe3bda8a3	0d5a008470726a54745f5e35f94e27ef0d40554a9569b89d2e99a9c4e45f9fda	18833	CLOCK	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
F0_SYSTEMATIC_AUDIT_results.md	a2d7ffd103dc82d41922abcf5320bc8c50410f74	3293eab3af0c76c62ee2351b7554c116d1351e87c4ce5115fb9824cc959b2b7d	17598	FINITE_CELL;CLOCK	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
F2_closure_results.md	53531541b574ac240a579a280425adf471974553	976edc403b9bcb7be392dbe48ae67d3eef051ae46f0ff5e43c061a5e38b9ad35	24252	CLOCK;ANGULAR	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
F2_matter_action_forcedness_results.md	8f932eb8f1e6af4a83017bffeb0e82444875614a	1d1b852312615516910d489a67d9c9c8f445812678df19dbbe67e2b08cd2d1b2	20979	BOOTSTRAP;CLOCK;ANGULAR	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
F4_seal_boundary_MAP.md	90d9d0382facc61432f9d36b8670cbd9d9ed2f7b	7ea689de0fa792b63fa9246865925240311e119106a61aa5e89b958eed93f064	21130	FINITE_CELL	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
F5_critical_universe_closure_results.md	ae4b09f3be492805557dcba3d15b159565e5107b	16f800d165ae5abf10af3737cb4626e69c1df62c8cfccfa124ff5793d9548599	21590	BOOTSTRAP;FINITE_CELL	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
F7_scale_bridge_native_results.md	fefebe75d06c783d63e2aabd61b3c9d5544addfa	52551c529dfc99af9f2f12efbc8e7575f8f49a3efdac326018b266b29ea056a7	17028	BOOTSTRAP;FINITE_CELL	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
F8_metric_choices_results.md	a149b70b473f875d5a3274b2775700ec613f2583	815f90c3c8a69158d021404065f31bd8f1ce892eb0e542f259c88a9c211b62d5	18907	ANGULAR	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	31d8e7366a4a074a7fab9bac47ef65f439955c25	405edaf2302d5a9f8ed1cc2de48714fad0265b7eb310c8fc93c92567067cc480	27304	BOOTSTRAP;FINITE_CELL;BOUNDARY_ACTION;ANGULAR;SCALE	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
GR_NUMERICS_RESEARCH_2026-06-29.md	ec2049f68a3f369b6911d9c013d5f3fb10400303	8c7b5b20fbe396d1531e9371dd6678bcca7ca6591bed7d4e527170c483f34ccc	6725	FINITE_CELL	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
H3_hopfion_solve_preregistration.md	7729e2c1fcb19130160d8d6b55b97e9f0d9a370c	82dd23caec9938816f6171bb605d63ac41875d40127eb363c3f77d45c63df1f1	10346	ANGULAR	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
H4_GP_switch_hopfion_MAP.md	ac1fbbc1fffc0a5ad2a3bdd0bdaaa53ae4505aa2	6cd5d58d3665b447bef9c9c4f1dfd6d96129b5d77573a34b36657d4aa805ce8a	10040	FINITE_CELL;ANGULAR	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
H4_N1_offround_transverse_equation_results.md	c4a2ec184ac589ad250f928f0f55780dcea5f292	893c54c5d0da4f49f134375245d1350134601516b3e6c29dcad1412076cba474	8685	CLOCK	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
H4_N4a_source_background_audit_results.md	47914cff66fc9905ca60a56f0786db3d2810191d	e49a9767313c1815757df40656c1d4dbd8d1eac704d3b41a5aa2cadd72847c01	8953	FINITE_CELL	OTHER_TRACKED_CONTEXT	CONTEXT_CANDIDATE
