candidate_id	candidate	input_owned	composition	calibration_depth	status	reason
C01	abstract_reciprocal_density_line	supplied_causal_flag_and_arrow	exact_associated_line_action	nonzero_delta_RF	DERIVED_ABSTRACT_REPRESENTATION	canonically realizes the reciprocal-root character but not the physical flag or arrow
C02	endpoint_orthonormal_coframe_matching	metric_plus_selected_endpoint_coframes	exact	zero	DERIVED_ZERO_OR_GAUGE_DEPENDENT	correct coframe matching is an isometry; component identity depends on presentation
C03	Levi_Civita_parallel_transport	metric_plus_path	exact	zero	DERIVED_ZERO_DEPTH	metric compatibility preserves clock and plane densities
C04	regular_unique_geodesic_pair_flag	observer_clock_plus_regular_spacelike_event_pair	flag directions transport pathwise	zero_under_Levi_Civita	CONDITIONAL_DIRECTION_ONLY	constructs a pair-relative direction but no reciprocal calibration scale
C05	world_function_or_geodesic_distance	metric_plus_convex_normal_pair	not_additive_for_generic_triples	nonnegative_symmetric_magnitude	REJECTED_AS_SIGNED_COCYCLE	distance supplies separation not ordered additive depth
C06	differential_of_exponential_map	metric_plus_geodesic_branch	not_4D_subdivision_compositional	curvature_sensitive	REJECTED_NONCOMPOSITIONAL	transverse sin(r)/r factors do not telescope and conjugate points are singular
C07	full_Jacobi_phase_propagator	metric_plus_geodesic_branch	exact_on_8D_phase_state	needs_reduction	CONDITIONAL_WRONG_TYPE	4D block needs congruence polarization Lagrangian or Riccati data
C08	Cartan_affine_development	metric_plus_path_and_initial_frame	exact_affine	zero_in_linear_part	DERIVED_AFFINE_PHYSICALLY_INSUFFICIENT	translation is not the reciprocal-root linear density character
C09	raw_complete_coframe_current	coframe_presentation	path_integral_additive_after_choice	presentation_dependent	REJECTED_AS_METRIC_NATURAL_SOLDER	inhomogeneous frame term and coordinate first-jet artifact
C10	higher_jet_metric_natural_nonmetric_connection	metric_plus_selected_tensor_rule_and_path	exact	nonzero_family	OPEN_NONUNIQUE_FAMILY	infinitely many curvature-built rules and coefficients survive
C11	stationary_intrinsic_Killing_norm_ratio	intrinsic_stationary_branch	exact_endpoint_cocycle	nonzero	CONDITIONAL_POSITIVE	metric-native on its stationary stratum but not universal
C12	endpoint_potential_difference	supplied_global_scalar_or_calibration_section	exact	arbitrary	CONDITIONAL_NONUNIQUE	the scalar owner is precisely the missing input
C13	van_Vleck_or_focusing_scalar	metric_plus_geodesic_branch	not_multiplicative_under_generic_subdivision	curvature_sensitive	REJECTED_AS_UNIVERSAL_COCYCLE	useful bilocal invariant but not exact calibration transport
C14	physical_pair_calibration_state_functor	complete_metric_coframe_plus_ordered_query	required_exact	required_nonzero	OPEN	no current premise selects the global or bilocal calibration state and update
