claim_id	claim	status	scope
S01	founding reciprocal operator defines an abstract clock_ruler calibration representation	DERIVED_WITH_FOUNDING_STAMPS	supplied signed ordered depth
S02	reciprocal_root defines an associated calibration density line	DERIVED_MATHEMATICS	supplied causal flag groupoid and arrow
S03	an ordered observer query can supply a pair_relative causal flag	CONDITIONAL_REGULAR_QUERY	observer clock plus regular nonnull pair direction and chosen event/path branch
S04	the metric supplies directions and nonzero reciprocal calibration by the same canonical construction	REFUTED	Levi_Civita and orthonormal coframe matching preserve densities
S05	a nonzero metric_natural solder exists at order zero or first metric jet	DERIVED_SCOPED_NO_GO	local diffeomorphism-natural metric/coframe data with endpoint-frame covariance and no added reduction
S06	metric separation is the signed additive reciprocal depth	REFUTED	symmetric nonnegative distance is not additive on generic triples
S07	differential exponential is the physical compositional arrow	REFUTED	four-dimensional map fails subdivision composition and degenerates at conjugate points
S08	full Jacobi transport supplies a candidate state evolution	CONDITIONAL_WRONG_TYPE	exact on eight-dimensional phase state; four-dimensional reduction unowned
S09	raw coframe current supplies an intrinsic depth one_form	REFUTED_AS_UNIVERSAL	presentation dependent; covariant compatible derivative removes the apparent local scale
S10	higher_order or global metric structures are ruled out	OPEN_NONUNIQUE	higher-jet natural nonmetric families and global branch structures survive but are unselected
S11	stationary Killing norm ratio supplies a metric_native solder	CONDITIONAL_POSITIVE	intrinsic stationary branches only
S12	the current foundation supplies the universal physical calibration state functor	OPEN	requires a bilocal global branch or dynamical owner
S13	exp(-2 delta_RF) is universally the physical c_eff ratio	OPEN_CONSISTENT_EXTENSION	derived associated-line multiplier; physical trivialization and arrow ownership absent
S14	Xmax action source matter mass CMB or signalling follows	NOT_DERIVED	outside audit scope
