id	claim	status	qualification
S1	G297 question alternatives controls and maximum conclusion	PREREGISTERED	pushed at a26f72b9 before outcome derivation
S2	A-centered radar midpoint clock germ	DERIVED_CONDITIONAL_FROM_METRIC	supplied observers and declared two-leg route
S3	B-centered radar midpoint clock germ	DERIVED_CONDITIONAL_FROM_METRIC	distinct reversed-observer causal diamond
S4	quiet-flat radar and M_PT agreement	EXACT_BOUNDED_CONTROL	moving inertial planar relation only
S5	universal scalar R equals M_PT	REFUTED	regular nonconstant static lapse and active-screen controls
S6	owner intent favoring complete metric-causal physical query	SUBSTANTIVE_WORKING_CANDIDATE	noncanon and not a radar ontology of co-presence
S7	full causal-diamond to rank-two pair-germ map C_g	OPEN_UNDERDEFINED	basepoint tangents rank gauges and branch descent not proved
S8	query/germ nonidentity theorem	NOT_YET_DERIVED	scalar query differences do not prove full germ separation
S9	W1 after a causal clock-protocol choice	EVALUATOR_NOT_HISTORY_RESIDUAL	passes every regular supplied pullback by completed-coordinate construction
S10	G284 tidal Hessian reconstruction	DERIVED_CONDITIONAL_BOUNDED_FAMILY	not a general transfer theorem
S11	absolute scale route population complete history field equation Xmax	OPEN	outside G297 scope
S12	internal algebra verification	PASS	125 production controls 20000 independent cases 50000 assertions 5 hostile catches
S13	three-role whiteboard review	REQUIRES_REGRADE_APPLIED	all identified the missing complete transfer
S14	fresh external review	PASS_WITH_REPAIRS_REQUIRED	bounded landing survived; independence B-centered derivation and replay contract required repair
S15	external repair-only follow-up	PASS	R1 R2 R3 verified no defects and bounded landing retained
