item	status	use_in_G297	forbidden_promotion
F1_F4	FOUNDED_OR_DECLARED	reciprocal representation and primary metric provenance	profile or history law
W1	WORKING_FOUNDATIONAL_CLARIFICATION	completed-pair Dual Reciprocity after full pullback	identity on arbitrary raw radar coordinates
W4	WORKING_FOUNDATIONAL_CLARIFICATION	one metric owns proper clocks null cones transport and screen	unique field equation
W5	WORKING_FOUNDATIONAL_CLARIFICATION	complete projective relation is normalized physical pair position	proper radar optical or areal distance identity
W6	WORKING_FOUNDATIONAL_CLARIFICATION	non-signalling co-presence architecture	controllable superluminal signalling
owner_clarification_2026_08_29	OWNER_CLARIFIED_FOUNDING_INTENT	causal timing and reciprocal dilation describe one physical completed pair relation	canon or already-derived theorem
observer_worldlines	SUPPLIED_BOUNDED_CONTROL	define endpoint proper clocks and local first germs	physical observer population
two_leg_null_diamond	CHOSE_CONTROL	independent synchronization-free causal comparison	unique physical branch population
radar_midpoint_germ	DERIVED_CONDITIONAL_FROM_METRIC	causal clock-correspondence side	definition from reciprocal depth
complete_transport_projective_state	DERIVED_CONDITIONAL_FROM_METRIC	reciprocal relation side after supplied route and clocks	definition from radar rate
M_PT	DERIVED_CONDITIONAL_BILOCAL_SCALAR	independent metric mutuality control on a supplied null leg	universal two-leg scalar without proof
c_E	OBSERVED_CALIBRATION	clock-ruler unit conversion	local signal-speed field or absolute scale
screen_path_carry	DERIVED_CONDITIONAL_RETAINED	prevent scalar-only false equivalence	post-readout orchestra or omitted sector
observations_sources_matter_action_field_equation_scale_Xmax	OPEN_EXCLUDED	no role	selector or repair
