object	status	claim	scope_or_owner
working_relation_vector	CHOSE_WORKING	xi_equals_Xmax_tanh_phi_pair_n	supplied_regular_pair_only
next_pair_frame_identity	DERIVED	exact_D_u_squared_xi_decomposition	supplied_smooth_regular_pair
screen_acceleration_A	DERIVED_READOUT	P_H_D_u_u	additional_first_order_readout_outside_G150_four_output_census
screen_turn_derivative_Pi	DERIVED_READOUT	P_H_D_u_Omega	supplied_metric_query_next_jet
curvature	DERIVED_FROM_SUPPLIED_METRIC	Levi_Civita_Riemann_tensor	kinematic_not_field_equation
two_parameter_variational_realization	CONDITIONAL_QUERY_STRUCTURE	smooth_query_identifies_variational_vector_with_xi	not_owned_by_terminal_pair_scalar
connecting_field_condition	CONDITIONAL_SUFFICIENT_REDUCTION	bracket_u_xi_zero	not_necessary_if_commutator_source_exceptionally_cancels
connecting_first_order_restriction	DERIVED_CONDITIONALLY	a_n_zero_and_depth_screen_gradient_relations	rho_nonzero_connecting_family_only
generalized_deviation	DERIVED_CONDITIONALLY	D_u2_xi_plus_R_xi_u_u_minus_D_xi_acceleration_zero	connecting_field_is_canonical_sufficient_reduction; exceptional_nonzero_C_cancellation_allowed
geodesic_congruence	CONDITIONAL_REDUCTION	acceleration_zero_throughout_variation	not_UDT_dynamics
jacobi_projection	DERIVED_CONDITIONALLY	radial_and_screen_curvature_join	geodesic_connecting_family_only
exact_warped_witness	CHOSE_MATHEMATICAL_CONTROL	reciprocal_terminal_and_Jacobi_sign_exact	not_physical_history_or_Xmax_value
physical_query_family	OPEN	which_connecting_family_is_realized	future_program
history_dynamics_regime_amplitudes	OPEN	not_selected	future_program
global_completion_Xmax_value	OPEN	not_derived	future_program
