object	status	claim	scope_or_owner
G148_identity	DERIVED	relation_first_covariant_first_jet_identity	supplied_smooth_regular_pair
G149_realization	VERIFIED_WITH_CAVEATS	one_smooth_complete_metric_query_realizes_identity	one_registered_witness
flat_counterfamily	CHOSE_MATHEMATICAL_COUNTERFAMILY	constant_Lorentz_metric	counterexample_to_universal_relation_only
pair_scales	FREE_AND_EXPLORED	arbitrary_T_L_positive	all_finite_pair_depths
pair_second_jets	FREE_AND_EXPLORED	arbitrary_quadratic_A_B	unrestricted_smooth_query_class
output_rank	DERIVED	rank_four_minor_nonzero	T_L_positive
arbitrary_target_recovery	DERIVED	right_inverse_recovers_p_a_w2_w3_exactly	four_named_outputs_only
first_order_selector_ceiling	DERIVED	no_nontrivial_universal_pointwise_algebraic_relation_among_four_named_outputs	declared_unrestricted_local_class
kernel_first_order_objects	OPEN	other_A_B_combinations_carry_acceleration_shift_and_common_scale_data	not_classified
physical_query_restrictions	OPEN	could_reduce_allowed_jets	future_physics
other_first_order_objects	OPEN	not_classified	outside_scope
next_pair_frame_jet_metric_curvature_Jacobi	OPEN	not_tested	next_gate
dynamics_global_completion_regime_law	OPEN	not_derived	future_program
