object	metric_or_group_supply	extra_premise	hopf_role	ruling
descent of chart multiplication to physical coframe/metric classes	FAILS_UNDER_INDEPENDENT_LOCAL_LORENTZ_REPRESENTATIVES	type-correct soldering plus selected section or Lorentz-equivariant quotient operation	makes the composition frame-independent	OPEN
angular reciprocal depth character	DERIVED_IN_POSITIVE_TRIANGULAR_CHART	physical owner and representative	latitude parameter	DERIVED_CHART_CHARACTER_PHYSICAL_OWNERSHIP_OPEN
identification of positional scalar phi with angular depth	NOT_SELECTED_IN_COMPLETE_TEN_FIELD_PLUS_SCALAR_SPACE	conditional reciprocal-toric identification	ties positional depth to latitude	CHOSE_IN_EXISTING_WITNESS
connection weight f	DERIVED_FROM_ALIGNED_RECIPROCAL_ANGULAR_RATIO	diagonal axes and toric circle coordinates	Hopf connection coefficient	DERIVED_CONDITIONAL
transverse phase delta	NOT_COMPOSED_OR_SELECTED	two periodic axes and their difference	azimuth on target S2	OPEN
S2-valued quotient/null section	EXACT_UNIT_AND_NULL LIFT AFTER PHI_DELTA_FRAME	toric phi delta and representative coframe	seed-level section	CONDITIONAL_EXACT_SECTION_WITNESS
periods circle action caps orientation full range	NOT_SELECTED	existing toric global completion	turns continuous endpoint readout into integer class	CONDITIONAL_GLOBAL_DATA
finite-endpoint Hopf readout under composition	NOT_A_HOMOMORPHISM_OF_SEPARATE_Q_VALUES	complete endpoint profiles	boundary-dependent diagnostic	DERIVED_OBSTRUCTION_TO_CHARGE_COMPOSITION
deformation from exact seed to relaxed field	NOT_SUPPLIED	independent Map(S3,S2) carrier configuration space	existing stable configuration	POSIT_CONDITIONAL
L2+L4 action and static stability	NOT_DERIVED_BY_POINTWISE_GROUP	existing carrier functional box boundary operator	stabilizes relaxed Hopfion	SETTLED_STATIC_FINITE_BOX_CONDITIONAL_UNCHANGED
time-live persistence source mass	ABSENT	native dynamics boundary source and scale	physical matter completion	OPEN
