object_or_package	disposition	load_bearing	basis
G166_arbitrary_calibration_phi_control	RETAIN_AS_FOUNDED_BLOCK_AND_ALGEBRA_CONTROL_ONLY	no	G176 and G197 replace it as the completed physical scalar
G167_primary_spherical_pullback	RETAIN_BOUNDED_PULLBACK_EVIDENCE	yes_for_primary_slice_only	proves angular Gram precedes readout but does not own complete history
uncompressed_pair_kernel_reconstruction	RETAIN_CONDITIONAL_EVALUATOR_CONTROL	no	G179 supplies the active completed-pair scalar and arbitrary-coframe theorem
P1	EXCLUDED_HISTORICAL_PROFILE	no	G197 deletion audit and current registry
G116_frequency_junction	EXCLUDED_HISTORICAL_TRANSFER_CONTROL	no	G197 deletion audit and current registry
G189_flux_interface	EXCLUDED_HISTORICAL_TRANSFER_CONTROL	no	G197 deletion audit and current registry
G129_G165_scaffold_arc	EXCLUDED_RECONSTRUCTION_AND_CONTROL_ARC	no	current program and G197 provenance boundary
X_max	OPEN_GLOBAL_COMPLETION_TARGET_NOT_INPUT	no	current premise authority and G197
G243_spline_and_imported_transfer	RETAIN_OBSERVATIONAL_CONTROL_NOT_NATIVE_CHAIN	no	G243 no-freeze landing; only its direct redshift typing is used
G244_area_reference_projection	RETAIN_CHOSE_QUERY_CONTROL	no	area and shape geometry are native; catalogue projection is not
G249_G252_attachment_chain	DOWNSTREAM_OPTIONAL_UNIT_ATTACHMENT	no_kernel_mechanism	preserves dimensionless reciprocal relation and normalized shape while assigning dimensionful scale
protected_local_packages	EXCLUDED_AND_UNINSPECTED	no	AGENTS.md and LIVE.md
observational_outcomes	EXCLUDED_AND_UNINSPECTED	no	G253 preregistration
