edge_id	graph	from_nodes	to_node	classification	source	exact_claim
E00	scalar_kernel	N00	N01	LOAD_BEARING_DERIVED	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	continuous additive dual action gives D(delta) on supplied depth
E01	scalar_kernel	N02,N03	N04	LOAD_BEARING_DERIVED_CONDITIONAL	udt_g179_complete_coframe_pair_pullback_extension_2026-08-19/EXACT_DERIVATION.md	h equals J transpose g J with every complete metric and germ channel upstream
E02	scalar_kernel	N01,N04,N05	N06	LOAD_BEARING_WORKING_PREMISE	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/EXACT_DERIVATION.md	working extension of the founded dual character to the completed pullback gives T_s L_s equals one m equals sqrt minus det h and Phi equals minus log T
E03	scalar_kernel	N03,N06	N07	LOAD_BEARING_DERIVED_CONDITIONAL	udt_g216_observer_event_comparison_clock_rate_ownership_2026-08-22/EXACT_DERIVATION.md	delta_AB equals minus log d tau_B over d tau_A
E04	scalar_kernel	N07	N08	LOAD_BEARING_DERIVED_CONDITIONAL	udt_g243_reciprocal_sne_radial_spline_freeze_2026-08-24/EXACT_DERIVATION.md	for the supplied source-observer redshift query log one plus z equals source-minus-observer depth
E05	angular_sibling	N02,N03	N09	LOAD_BEARING_DERIVED_CONDITIONAL	udt_g245_metric_owned_observer_null_cone_field_2026-08-24/EXACT_DERIVATION.md	metric and observer germ own the full local direction-labelled null cone
E06	angular_sibling	N02,N09	N10	LOAD_BEARING_DERIVED_CONDITIONAL	udt_g188_complete_coframe_null_jacobi_extension_2026-08-20/EXACT_DERIVATION.md	metric connection and curvature determine the quotient-screen tide and Jacobi IVP
E07	angular_sibling	N10	N11	LOAD_BEARING_DERIVED_CONDITIONAL	udt_g244_metric_native_observer_sky_response_query_2026-08-24/EXACT_DERIVATION.md	H equals D dagger D with area abs det D and unit-determinant shape
E08	angular_sibling	N12	N13	LOAD_BEARING_DERIVED_CONDITIONAL	udt_g249_reciprocal_angular_absolute_scale_ownership_2026-08-24/EXACT_DERIVATION.md	full dimensionless metric branch and vertex IVP fix normalized response; Phi alone does not
E09	optional_scale_attachment	N12	N14	LOAD_BEARING_SUPPLIED_QUERY_OR_HISTORY	udt_g249_reciprocal_angular_absolute_scale_ownership_2026-08-24/EXACT_DERIVATION.md	one supplied dimensionless history defines a positive one-scale homothety orbit
E10	optional_scale_attachment	N14,N15	N16	LOAD_BEARING_OBSERVED_ATTACHMENT	udt_g252_local_proper_clock_same_object_attachment_contract_2026-08-24/EXACT_DERIVATION.md	one independent proper-clock attachment gives ell equals tau star over bar tau
E11	cross_channel_boundary	N07,N13	N13	LOAD_BEARING_DERIVED_CONDITIONAL	udt_g249_reciprocal_angular_absolute_scale_ownership_2026-08-24/EXACT_DERIVATION.md	equal reciprocal depth can have different angular response because metric jets and branch history remain
