claim	status	ceiling
reciprocal_character_on_supplied_depth	DERIVED	does not assign depth values or observer relations
complete_metric_pair_pullback	DERIVED_CONDITIONAL	requires supplied metric and regular pair germ
completed_pair_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	not metric-derived and not canon
completed_endpoint_relative_depth	DERIVED_CONDITIONAL	requires supplied completed event-pair germ
direct_reciprocal_redshift	DERIVED_CONDITIONAL_ON_SUPPLIED_SOURCE_OBSERVER_QUERY	no angular or luminosity-transfer input; not full light theory
metric_null_cone_and_Jacobi_response	DERIVED_CONDITIONAL	requires supplied metric history observer germ branch and IVP
angular_relation_to_redshift	DISTINCT_SIBLING_CHANNELS	shared metric architecture; angular response neither generates nor modifies direct G243 redshift
phi_value_angular_sufficiency	REFUTED_BOUNDED	equal phi with different metric jets gives different angular response
absolute_scale_attachment	SUPPLIED_OBSERVED_PLUS_DERIVED_CONDITIONAL_RECOVERY	assigns units after dimensionless history; no kernel-function fit
native_scaffold_independence	EXTERNALLY_VERIFIED_WITH_CAVEATS__BOUNDED_21_SOURCE_MIXED_STATUS_LANDING	P1 G116 G189 Xmax fits outcomes and protected work not load-bearing in 21-source audit
physical_history_observer_population_global_aggregation	OPEN	not solved by compression
