node_id	object	status	owner_source	role
N00	reciprocal_c_identity_and_dual_reciprocity	FOUNDATIONAL_COMBINATION	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founding premises before a depth value exists
N01	D_delta_determinant_one_character	DERIVED	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	acts on supplied ordered depth
N02	primary_or_complete_metric_history	SUPPLIED_OR_CONDITIONAL	SIMPLE_METRIC_MACRO.md	metric input, not selected physical history
N03	observer_event_pair_germ	QUERY_SUPPLIED	udt_g216_observer_event_comparison_clock_rate_ownership_2026-08-22/EXACT_DERIVATION.md	identifies the compared proper-clock incidences
N04	complete_pair_pullback_h	DERIVED_CONDITIONAL	udt_g179_complete_coframe_pair_pullback_extension_2026-08-19/EXACT_DERIVATION.md	all metric and germ channels precede readout
N05	completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/EXACT_DERIVATION.md	non-metric physical-pair calibration premise
N06	completed_endpoint_potential_Phi	DERIVED_CONDITIONAL	udt_g215_completed_scalar_shared_clock_incidence_descent_2026-08-22/EXACT_DERIVATION.md	Phi equals minus log T after N05
N07	endpoint_relative_depth_delta_AB	DERIVED_CONDITIONAL	udt_g216_observer_event_comparison_clock_rate_ownership_2026-08-22/EXACT_DERIVATION.md	delta_AB equals Phi_B minus Phi_A equals minus log clock-pair derivative
N08	direct_reciprocal_redshift	CONDITIONAL_OBSERVER_QUERY_READOUT	udt_g243_reciprocal_sne_radial_spline_freeze_2026-08-24/EXACT_DERIVATION.md	log one plus z equals source-minus-observer completed depth
N09	observer_local_null_cone	DERIVED_CONDITIONAL	udt_g245_metric_owned_observer_null_cone_field_2026-08-24/EXACT_DERIVATION.md	metric plus supplied observer germ owns all local null directions
N10	quotient_screen_connection_tide_and_Jacobi_map	STANDARD_GEOMETRIC_EVALUATOR	udt_g188_complete_coframe_null_jacobi_extension_2026-08-20/EXACT_DERIVATION.md	metric jets and supplied null query determine finite screen response
N11	observer_sky_area_and_shape	DERIVED_CONDITIONAL	udt_g244_metric_native_observer_sky_response_query_2026-08-24/EXACT_DERIVATION.md	H D A and C from the same metric-owned null-cone differential
N12	full_dimensionless_metric_branch_and_vertex_IVP	SUPPLIED_QUERY_AND_HISTORY	udt_g249_reciprocal_angular_absolute_scale_ownership_2026-08-24/EXACT_DERIVATION.md	fixes normalized response conditionally; Phi value alone is insufficient
N13	normalized_angular_response	DERIVED_CONDITIONAL	udt_g249_reciprocal_angular_absolute_scale_ownership_2026-08-24/EXACT_DERIVATION.md	branch-labelled Dbar Abar Cbar without fitted angular coefficient
N14	positive_homothety_scale_orbit	CONDITIONAL_CONFIGURATION_FAMILY	udt_g249_reciprocal_angular_absolute_scale_ownership_2026-08-24/EXACT_DERIVATION.md	one remaining absolute unit scale after dimensionless history is supplied
N15	independent_same_object_dimensional_attachment	SUPPLIED_OBSERVED_ATTACHMENT	udt_g251_same_object_metric_attachment_ownership_2026-08-24/EXACT_DERIVATION.md	empirical bridge, not metric self-evaluation
N16	absolute_scale_ell	DERIVED_CONDITIONAL_AFTER_ATTACHMENT	udt_g252_local_proper_clock_same_object_attachment_contract_2026-08-24/EXACT_DERIVATION.md	ell recovered from one nonzero-weight attachment; later anchors test history
