object	status_before_audit	allowed_role	forbidden_promotion
reciprocal_character_on_supplied_depth	DERIVED	founding algebra	complete observer assignment
primary_static_spherical_metric	CONDITIONAL_DECLARED_METRIC_SLICE	bounded primary metric input	selected complete physical history
complete_pair_germ	QUERY_SUPPLIED	pullback domain	metric-selected observer population
complete_pair_pullback	DERIVED_CONDITIONAL	metric evaluation before readout	universal selected pair
completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	post-pullback calibration premise	metric-derived or canon
completed_reciprocal_depth	DERIVED_CONDITIONAL	terminal scalar after working premise	pointwise universal field owner
direct_reciprocal_redshift	STATUS_TO_AUDIT	conditional pair readout	luminosity or transfer theorem
null_screen_jacobi_response	DERIVED_CONDITIONAL	metric-and-germ evaluator	function of Phi alone
absolute_scale_attachment	SUPPLIED_OBSERVED	assign one dimensional normalization	kernel profile fit or history selection
c_E	OBSERVED_CALIBRATION	clock/ruler unit conversion	absolute length selector
P1_G116_G189_Xmax_fits	NON_LOAD_BEARING_CONTROL	excluded historical comparison	active construction input
physical_history_population_aggregation	OPEN	future problem	claimed solved by compression
