claim	status	scope	remaining_open
full future null incidence set from g zA zB	DERIVED_CONDITIONAL	convex-normal supplied worldline pieces	null query and observer population supplied
cone-worldline transversality	DERIVED	nonzero null chord and timelike target	coincidence excluded
positive clock correspondence germ	DERIVED_CONDITIONAL	every regular incidence element	global branch aggregation
separately supplied local null ray or sheet	NOT_REQUIRED_AFTER_INPUTS	metric plus two worldline germs and null query	outside null query no claim
G222 pair ribbon	DERIVED_CONDITIONAL	unique convex-normal branch	cut conjugate incomplete global strata
completed ruler density and depth	DERIVED_CONDITIONAL	G176 working clarification	canonization and cross-query carry
mathematical reversal	DERIVED_BRANCHWISE	inverse of same correspondence	past-directed causal orientation
physical future return	SEPARATE_RELATION	opposite observer future cone	not inverse in general
cone-cone direct transversality	FALSE_TYPE_CORRECTED	null-separated endpoints	cone-worldline incidence is correct
global multiple branches	METRIC_OWNED_SET_UNSELECTED	flat-cylinder witness	physical branch policy
physical metric history	QUERY_SUPPLIED_NOT_SELECTED	input to theorem	dynamics or global admissibility
universal comparison protocol	OPEN_NOT_SELECTED	null only in declared query	Fermi radar other queries remain
fit outcome source detector Xmax	ABSENT_CLOSED	entire construction	future separately declared applications
