item	status	role	guard
smooth_time_oriented_Lorentz_metric_history	QUERY_SUPPLIED	owns causal cones world function exponential map and geodesics	no physical history selection
two_future_timelike_proper_clock_worldline_germs	QUERY_SUPPLIED	candidate endpoint observers	no observer population law
future_null_incidence_query	CHOSE_BOUNDED_QUERY_TYPE	tests metric ownership after null query is declared	not universal UDT protocol
convex_normal_neighborhood	BOUNDED_GEOMETRIC_DOMAIN	owns unique local geodesic and smooth world function	no global uniqueness claim
all_regular_incidence_germs	FULL_LOCAL_SOLUTION_SET	no preferred local ray	no branch cherry picking
incidence_seed_pair	RELATION_ELEMENT_FOR_LOCAL_GERM	base point for implicit function theorem	not a source law or selected cosmological endpoint
Levi_Civita_world_function_and_IFT	STANDARD_GEOMETRIC_EVALUATOR	derives incidence correspondence and ribbon	not action dynamics or extra mechanism
G245_metric_owned_cone	DERIVED_CONDITIONAL	removes separately supplied local null sheet	no source or endpoint selector
G220_clock_arrow	DERIVED_CONDITIONAL	positive clock slope on each regular branch	not full pair alone
G222_pair_ribbon	DERIVED_CONDITIONAL	full Lorentzian rank_two pullback and ruler density	global ruler coordinate remains open
G176_completed_pair_Dual_Reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	terminal reciprocal calibration after pullback	not canon or metric-derived premise
mathematical_reversal	DERIVED_BRANCHWISE	inverse correspondence and odd scalar depth	not physical future return
physical_future_return	SEPARATE_METRIC_DERIVED_RELATION	future cone of the target observer	not silently identified with inverse
global_cut_conjugate_multiple_image_strata	OPEN_CLASSIFIED	branch-labelled relation set	no branch aggregation or selector
observations_transfer_source_detector_Xmax	CLOSED_OMITTED	no construction role	no fit prediction or import
