id	object	status	premises	est_result	not_established	next_falsifier
S01	Internal reciprocal conversion pair	DERIVED_KINEMATIC	Reciprocal-c; dual Reciprocity; faithful formalization	uv=1 and reciprocal exponential comparison retained	No spacetime line bundle or coframe	Native type-correct spacetime realization
S02	S0 pointwise metric-only line selector	REFUTED_IN_CLASS	One Lorentz metric; pointwise naturality; full Lorentz stabilizer	No invariant one-dimensional subspace	No theorem about added structures or global rules	Exhibit an O(1;3)-fixed line
S03	S1 universal local finite-jet metric-only selector	REFUTED_IN_CLASS	Finite-order natural operator on the unrestricted Lorentz class; flat jet included	Flat jet has full Lorentz isotropy and no fixed line	UDT off-shell domain remains open; no rejection of restricted generic-stratum or nonlocal selectors	Universal natural construction defined at flat jet or native domain theorem excluding it
S04	Conformal metric class	INSUFFICIENT_FOR_SELECTION	CSN; inherited Lorentz causal structure	Preserves null cone and any already-given line but selects none	No representative normalization	Native conformal natural selector
S05	Metric-derived coframe	NOT_UNIQUE	Lorentz metric alone	Local Lorentz boosts preserve metric while changing coframe	No rejection of a separately derived coframe	Native gauge reduction or soldering theorem
S06	Declared spacetime reciprocal endomorphism	CONDITIONAL_STRUCTURED	Endomorphism with eigenvalues exp(-phi);exp(phi)	Distinct eigenvalues select lines only for phi nonzero	No native origin; phi=0 branch degenerates	Derive endomorphism plus branch/global rule
S07	Curvature eigenline selector	CONDITIONAL_STRATIFIED	Chosen curvature tensor/operator; unique causal simple eigenvalue	Can select on a nondegenerate stratum	Flat/conformally symmetric/degenerate branches and CSN law unresolved	Native operator and complete degeneracy continuation
S08	Gradient-phi selector	CIRCULAR_OR_EXTRA_FIELD	Independent spacetime scalar phi and nonzero gradient	Direction exists where gradient is nonzero	Current phi readout needs paired slots; critical/constant sets remain	Derive phi independently and cover critical sets
S09	Static Killing selector	CONDITIONAL_SECTOR_ONLY	Static spacetime; selected hypersurface-orthogonal Killing line; compatible representative or conformal-Killing law	Time line available within restricted sector	Staticity; uniqueness; CSN compatibility; normalization; time-live extension	Native symmetry/selection theorem
S10	Finite-cell seal normal line	CONDITIONAL_BOUNDARY_LOCAL	Declared smooth spatial seal in static phi sector	Conformal normal line exists at seal; unit normal is representative-dependent	No time line or bulk pair	Exact boundary geometry and native extension rule
S11	Boundary-normal bulk extension	UNDERDETERMINED	Seal-local normal only	Two smooth collar extensions agree at seal and differ inside	No exclusion of geodesic/spectral/nonlocal selection	Native global boundary-to-bulk theorem
S12	S2 internal-to-spacetime realization	OPEN	Current C0/C1 and accepted ledgers	No type-correct map with laws/degeneracy/extension supplied	No proof that a full coframe or auxiliary field is required	Native realization/soldering rule
S13	Smallest missing object	OPEN_PRECISE	S01-S12	Map internal pair to causal spacetime line pair with covariance; CSN; normalization; degeneracy; finite-cell/global rules	No dynamics or independent ontology implied	Construct and uniquely justify the map or eliminate the need
S14	Auxiliary/coframe requirement	NOT_DERIVED	Local no-go scope respected	Failure of S0-S1 does not force field enlargement	No statement that auxiliary structures are forbidden	Foundation theorem excluding all readout/global/structured routes
S15	Variation-domain selection	OPEN	No spacetime realization or field-status rule	Selector audit supplies no pre/post-scale bridge	No choice between C2/Bach and EH	Bootstrap derivation of realization and variation status
S16	Complete native action; source; boundary charge	OPEN	Final A/B/C ledger unchanged	No downstream open status is strengthened	No carrier; matter source; boundary action; mass	Complete native construction
S17	Top-level selector outcome	NO_UNIVERSAL_LOCAL_METRIC_ONLY_SELECTOR_REALIZATION_MAP_OPEN	T1-T10 exact bounded audit	S0-S1 refuted in class; S2 open; S3-S4 conditional/open	No universal no-auxiliary or no-global theorem	Counterexample inside S0/S1 or native complete S2-S4 selector
