source	version_or_locator	sha256
TN3397	ESA-EOPSM-GOCE-TN-3397 issue1.0 Approved27Aug2018; /tmp/udt-pe-primary-wacMzS/algorithms_2018.pdf	3ba0639bd03adb2d9cbea49af6840991b0d2c7dfea67dc6d40eed2e0a47e935f
Handbook	GOCE-GSEG-EOPG-TN-06-0137 issue2rev0 25Jun2008; /tmp/udt-pe-primary-wacMzS/handbook.pdf	cc4110aa5232934962afe89b7ba3f71c0aff14900a5e21ba2f92e8523e36783b
Presentation	Siemes et al 13Apr2018 On the reprocessing of GOCE gravity gradients; /tmp/goce_pe1_review.28tzLa/egu2018.pdf	ceb0d099b5a66321eeb037c879275711c62c4160ea9d8fc4908930b11ad0b053
TM2	udt_tidal_measurement_feasibility_campaign_2026-09-07/step_02/CANDIDATE_ARGUMENT.md	8660e9077d6fb29b041bd5e7d9875c53658b7f8ab5683f60a170d071ead7990b
PE1_sources	udt_goce_product_eligibility_audit_2026-09-07/step_01/SOURCE_LEDGER.tsv	bdc5f00eff359b1d21b6184e130615ce3432d122a0f66349f412403a3b05d66a
PE1_exposure	udt_goce_product_eligibility_audit_2026-09-07/step_01/ACCESS_AND_EXPOSURE.md	6bffbb664dc34253bf40b75184b12efb8524710f5abc4a7e1597f8822562db8b
Work_order	udt_goce_documentation_followup_2026-09-07/WORK_ORDER.md	efaa3be5e82743c0bc21f7bcb3a786a132736b55f973dad3108625f737ebda85
AGENTS	AGENTS.md	4b30e3d839d546299e2177fa33dcdc7f0a5305feb78a4c1f48bde11043b7b43d
CLAUDE	CLAUDE.md	b7e524a5b06760e57877a408630228767ae9a394134095f9851bef5d06e17751
Review_protocol	CROSS_MODEL_VERIFY.md	2b0509d933d731fbf3f72aa88777a54d3e48a94d4bae3d324087871777f9a007
Completeness_protocol	.claude/skills/completeness-map/SKILL.md	a8cf9e5f4a6d35a0d0ebfe4bc48dbf328ca74e318f020a6a22cb683666a611c0
Verifier_protocol	.claude/skills/verifier-before-record/SKILL.md	9b3a4aacd4b4006b2b7f01edada73b7c87b99bea6e754583558713bfc145e5ac
No_shortcuts_protocol	.claude/skills/no-shortcuts/SKILL.md	fd3a1f3218481134f2af829d3ae4175ac53518f75bf9673287efbfb7d7708fc1
