item	status	role	guard
G324 compact Taub quotient	DERIVED_CONDITIONAL_BACKGROUND	background metric and fixed quotient	no occupancy or unique universe
Universal Reciprocity / DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	bounded trace-free Ricci equation	not derived or canon
G312 quiet-GR response and Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATES	bounded response constitution	no imported GR equation called native
G323 axial period	DERIVED_CONDITIONAL	primitive compact Fourier covector	no observed wavelength or scale
synchronous presentation	CHOSE	declared perturbation chart	no claim outside the gauge-invariant tensor sector
primitive axial Fourier eigenspace	CHOSE	first nonzero spatial tile	other harmonics and directions remain open
transverse-tracefree tensor sector	CHOSE	symmetry-protected two-polarization sector	scalar vector and mixed sectors remain open
mode amplitudes phases and time data	FREE_AND_EXPLORED	complete declared eigenspace	no endpoint data or merit filter
diagnostic phase-space norm	CHOSE	metric-relative characterization only	not an action energy or acceptance filter
source action matter observation fit scale Xmax	ABSENT	forbidden physical imports	remain open

