item	status	detail
primitive_axial_tensor_sector	SCIENTIFIC_CORE_EXTERNALLY_UNREFUTED_EVIDENCE_REPAIRS_PENDING_FOLLOWUP	complete two-polarization two-phase first-harmonic eigenspace
external_scientific_assessment	PASS_NO_BOUNDED_REFUTATION	fresh reviewer accepted equations gauge count witness asymptotics and scope
vendored_runtime	PASS_INTERNAL_REPAIRED	sealed SymPy 1.13.1 and mpmath 1.3.0 work with host user site disabled
preregistration_ancestry	PASS_INTERNAL_REPAIRED	raw commit object exact changeset and five blobs authenticated at 9bec301b
literal_fourth_replay	PASS_INTERNAL_REPAIRED	outer verifier executes all four lines with bounded nested recursion guard
external_repair_followup	PENDING	R1 R2 R3 only scientific landing frozen
constraint_closure	DERIVED_EXACT	all out-of-sector first-variation residuals vanish
linearized_scalar	DERIVED_EXACT	zero for nonzero tensor Fourier mode
gauge_classification	DERIVED_EXACT	periodic same-mode diffeomorphisms have zero transverse-TF image
time_basis	DERIVED_EXACT	J0 and Y0 at z=3 nu T^(4/3)/4
real_dimension	DERIVED_EXACT	eight constants
past_endpoint	CLASSIFIED_NOT_FILTERED	one finite and one logarithmic amplitude branch
future_endpoint	DERIVED_BOUNDED_NORM	both branches oscillatory O(T^-2/3) in declared relative first-order norm
full_fourier_spectrum	OPEN	scalar vector transverse-direction oblique and higher modes absent
full_stability	OPEN	no endpoint-uniform full-system or nonlinear theorem
physical_selection	OPEN	no occupancy history scale observation mass or Xmax
metric_kernel_angular_equation	UNCHANGED	no formula or premise modification
