sha256	git_ref	path	role
f0c045abf9810dc327d249d0df385cd7e8d6914eedfaf5b31c78d186eaa13d44	7c782014	SIMPLE_METRIC_MACRO.md	declared primary metric boundary
ea15d0f0dc344c566309a7f95cff4b0efc5d182f58858de5b0076857b746d64d	7c782014	udt_uncompressed_pair_kernel_reconstruction_2026-08-14/EXACT_DERIVATION.md	complete-coframe pullback and live identities
45fa4a9a2a7ff911e3abf20ceae33eb88b2622c9201b4e0c63e9f63693fb9a13	7c782014	udt_uncompressed_pair_kernel_reconstruction_2026-08-14/AUDIT_REPORT.md	complete-coframe ownership boundary
1ce3b20e899f66b19dc4c2b3d48bd55ac6caf52c65d844756406adc0a2c8b4b0	7c782014	udt_uncompressed_pair_kernel_reconstruction_2026-08-14/EXTERNAL_ADVERSARIAL_REVIEW.md	independent complete-pullback review
e51704c01a72c546401e31f59ecf0b1881ee2c273324ccba2e4572fc7d01941d	7c782014	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/EXACT_DERIVATION.md	primary-metric full-pair boundary and orchestra
c1a1f722e393e431b1b0805a7e2d5ad8e27813c48db989f824b76898bc499593	7c782014	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/AUDIT_REPORT.md	G167 bounded ownership
39ebafd725f2eb8f0e8a0b2fcd6cf2a485c3c7fbfc7dde1582844f066aa88cb2	7c782014	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/ADOPTION_RECORD.md	Charles's working completed-pair clarification
df53a5b3c52d0bd24496d060637dc158a4f2c7cdd17226c9446ea0d338d27831	7c782014	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/EXACT_DERIVATION.md	accepted local reciprocal normalization theorem
3e091df2d8582a8c48ef30bace1ed3cac79e9488db1dbf7fe2a3102e4d789b37	7c782014	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/EXACT_DEPENDENCY_AUDIT.md	scaffold-free dependency boundary
273bb92bbac70937647c14acea473f16447a8a63c2c7ad80158802ac97f546b2	7c782014	udt_g178_completed_pair_kernel_fresh_adversarial_review_2026-08-19/EXTERNAL_REVIEW_ADJUDICATION.md	fresh external acceptance and caution
