item	status	boundary
arbitrary complete coframe pullback	DERIVED_CONDITIONAL	supplied invertible E and rank-two J
unique positive completed-pair density	DERIVED_CONDITIONAL	working completed-pair Dual Reciprocity clarification
completed depth Phi=-1/2 log(-h00)	DERIVED_CONDITIONAL	regular h00<0 and det h<0
full BQSYZ orchestra upstream	DERIVED_CONDITIONAL	conditional complete 2+2 chart specialization
nonzero shift retained	DERIVED	shift cancels from determinant only through triangular identity
singular-Y regular pair	DERIVED_BOUNDED	no Y inverse needed
time-live chain rule	DERIVED_KINEMATIC	not dynamics or a history law
coframe gauge and coordinate covariance	DERIVED	matched local transformations
event and germ realization	OPEN	outside local evaluator
singular and global completion	OPEN	null degenerate cut focal and topology sectors omitted
non-scalar transport and observations	OPEN	separately typed downstream questions
fresh external adversarial review	ACCEPTED_WITH_STATED_BOUNDS	no reproduced defect; no repair required
