source_id	path	sha256
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	c05647b1498073b79f2cad56608befd43cb8f0052ea286a39cdb30a00c236ddf
S02	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	7a4fba1c6f9d02eb7ca12ac953d04e1c04e2b7271598dc99e51db5baeddedb08
S03	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/derive_extension_class.py	35860f84a3947f99ea9e44e68e9883738021f2ddccbc360181f8a4c9d72c994a
S04	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/DERIVATION_RESULT.json	25b4fd3b9a904c992b3b05a6f7480c8151c5d56c09b440d79074d22b96aff0b9
S05	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/EXACT_DERIVATION.md	d2386f376d1303cef78294ff5a154a8a5cb3b33942e783342b13a237225b4135
S06	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/EXTENSION_CLASS_UNIVERSE.tsv	2afa6b6ba32fd2668b16883643de4f7f67f9a5387eb7d2bf19ad175bfce0afeb
S07	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/DERIVATION_RESULT.json	84512876cdd5b0c959b90242fff180f5c6df5464e099800091bca0c2c92f0280
S08	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/EXACT_DERIVATION.md	44859e5a05c723071b7e0a5aa5f3074ffe54a1726011cd6ce4e4b7e2fe99aa56
S09	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/ASSEMBLY_GATE_OUTCOMES.tsv	18347f1be015b6fe3a03bc67f7e5253120fafd140236897c3b48fdecd065c00c
S10	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/HOMOGENEOUS_HOLONOMY_ATLAS.tsv	f2545d220645e702f192a845c07653c1214a41c03a32592bdd6302054f5cc6c5
S11	udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24/EXACT_DERIVATION.md	097ffb2ea563a5504977e092f7a6a11d0f144ec3909291632e3290ec1b020450
S12	udt_relational_pair_depth_realization_audit_2026-07-24/EXACT_DERIVATION.md	9c029c9cce3f9199e9ab97c01f599eeec50d3561e374f54c691b96a410367065
S13	udt_metric_natural_complete_extension_selector_audit_2026-07-27/EXACT_DERIVATION.md	15341969195924fa578a9c3a83f56c8270c093c03622f7ee233de51358b5b2d3
S14	udt_metric_natural_complete_extension_selector_audit_2026-07-27/EXACT_ALGEBRA.json	720e24dad2d613f0c2ddf18c4651e752c87b79a1eb41f07b5300d9e12e632d39
S15	udt_gr_lorentzian_relational_architecture_audit_2026-07-27/DEPENDENCY_ORDER.md	016b1b9f98efe743214cb3c1f3007032a5cee47425bf3835f33cc958773fc26e
S16	udt_gr_lorentzian_relational_architecture_audit_2026-07-27/UDT_CROSSWALK.tsv	e8a0bc7e9e32714bd00693eb811a929267249c03e4d2da249d98ea9dabc847f4
