catch_id	mutation	expected	result
C01	remove_one_candidate_outcome	FAIL	REJECTED_AS_REQUIRED
C02	duplicate_one_candidate_identity	FAIL	REJECTED_AS_REQUIRED
C03	classify_one_metric_response_direction_as_frame_gauge	FAIL	REJECTED_AS_REQUIRED
C04	select_one_finite_lift	FAIL	REJECTED_AS_REQUIRED
C05	erase_second_metric_jet_countercontrol	FAIL	REJECTED_AS_REQUIRED
C06	promote_Levi_Civita_transport_to_physical_UDT_law	FAIL	REJECTED_AS_REQUIRED
C07	select_geodesic_as_unique_physical_path	FAIL	REJECTED_AS_REQUIRED
C08	call_reciprocal_swap_an_ordinary_Lorentz_transition	FAIL	REJECTED_AS_REQUIRED
C09	promote_global_complete_section	FAIL	REJECTED_AS_REQUIRED
C10	promote_variation_domain	FAIL	REJECTED_AS_REQUIRED
C11	promote_downstream_physics	FAIL	REJECTED_AS_REQUIRED
C12	select_lambda_from_ordered_pair_SO2	FAIL	REJECTED_AS_REQUIRED
C13	make_founded_pair_fully_Lorentz_invariant	FAIL	REJECTED_AS_REQUIRED
C14	change_independent_affine_fiber_rank	FAIL	REJECTED_AS_REQUIRED
C15	remove_one_source_manifest_row	FAIL	REJECTED_AS_REQUIRED
