source_id	path	registered_role	authority
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	current premise stamps and regression guards	CONTROLLING
S02	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	founded reciprocal generator and exact pointwise extension class	CONTROLLING_DERIVATION
S03	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/derive_extension_class.py	exact extension algebra	CONTROLLING_ALGEBRA
S04	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/DERIVATION_RESULT.json	exact rank and class outputs	CONTROLLING_EVIDENCE
S05	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/EXACT_DERIVATION.md	conditional path-composition and holonomy algebra	CONTROLLING_DERIVATION
S06	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/EXTENSION_CLASS_UNIVERSE.tsv	complete extension representatives to classify	CONTROLLING_CANDIDATES
S07	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/DERIVATION_RESULT.json	conditional functor exact outputs	CONTROLLING_EVIDENCE
S08	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/EXACT_DERIVATION.md	prior bundle transition and holonomy controls	SCOPED_PARENT
S09	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/ASSEMBLY_GATE_OUTCOMES.tsv	prior global assembly outcomes	SCOPED_PARENT
S10	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/HOMOGENEOUS_HOLONOMY_ATLAS.tsv	registered holonomy strata	SCOPED_PARENT
S11	udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24/EXACT_DERIVATION.md	observer-path cocycle composition controls	SCOPED_PARENT
S12	udt_relational_pair_depth_realization_audit_2026-07-24/EXACT_DERIVATION.md	bilocal depth and owner/path typing	SCOPED_PARENT
S13	udt_metric_natural_complete_extension_selector_audit_2026-07-27/EXACT_DERIVATION.md	metric-natural selector and centralizer controls	CONTROLLING_BOUNDARY
S14	udt_metric_natural_complete_extension_selector_audit_2026-07-27/EXACT_ALGEBRA.json	exact selector ranks and controls	CONTROLLING_EVIDENCE
S15	udt_gr_lorentzian_relational_architecture_audit_2026-07-27/DEPENDENCY_ORDER.md	comparison architecture and anti-import taxonomy	COMPARISON_ONLY
S16	udt_gr_lorentzian_relational_architecture_audit_2026-07-27/UDT_CROSSWALK.tsv	frozen derive-or-fail question and forbidden inferences	COMPARISON_ONLY
