object	status	exact_scope	remaining_open
founded_reciprocal_pair	DERIVED	Additive log depth and diag(exp(-phi),exp(+phi)) action	Physical observer/path assignment and realized profile
fixed_metric_coframe_equivalence	DERIVED_REPRESENTATIVE_FREEDOM	Kernel of X_to_XTeta_plus_etaX is exactly so(1,3)	Physical observer changes are not passive coframe changes
seven_dimensional_affine_response_query_bundle	DERIVED	Infinitesimal symmetric metric responses over supplied regular ordered pairs	Physical pair section finite lift and global continuation
seven_extension_directions	INEQUIVALENT_METRIC_DATA_AT_FIRST_JET	Exact restricted response rank seven	Finite nonlinear equivalence and selection
ordered_pair_SO2_reduction	DERIVED_ONE_PARAMETER_INVARIANT_FAMILY	Screen-isotropic lambda remains free	No lambda selector
observer_SO3_reduction	UNIQUE_CONDITIONAL_PLUS_ONE	Only after observer line and endpoint/parallel symmetry supplied	Reduction not selected
ruler_SO12_reduction	UNIQUE_CONDITIONAL_MINUS_ONE	Only after ruler line and complementary symmetry supplied	Reduction not selected
full_Lorentz_invariance	INCOMPATIBLE_WITH_FIXED_FOUNDED_PAIR	No affine response has full Lorentz stabilizer	Pair necessarily supplies/requires a reduction query
Levi_Civita_bundle_transport	METRIC_CANONICAL_MATHEMATICS	Exact path-labelled connection transport for supplied metric and paths	Physical UDT comparison role and path family
finite_constant_generator_lift	OPEN_NONUNIQUE_FROM_FIRST_RESPONSE	Same first metric jet can have different second metric jets	Native integration/reduction law
complete_extension_section	OPEN	No global finite section selected	Pair section path depth holonomy seal and boundary
physical_comparison_functor	OPEN	Conditional composition survives	Physical base arrows depth finite lift and readout
variation_domain	OPEN	No bundle existence theorem decides it	Off-shell response
strong_local_CSN	INACTIVE_CHALLENGED_NOT_DERIVED	Unchanged	No role
carrier_bootstrap_Xmax_action_source_boundary_mass_dynamics	UNCHANGED_REGISTERED_LEVELS	Excluded downstream objects	Complete UDT physics
