id	path	role
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	controlling premise ledger
S02	LIVE.md	current frontier and authorization boundary
S03	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	durable scientific frontier
S04	udt_fc07_reciprocal_harmonic_compatibility_audit_2026-08-02/NEXT_STEP.md	parent next-question definition
S05	udt_fc07_reciprocal_harmonic_compatibility_audit_2026-08-02/EXACT_DERIVATION.md	parent exact/harmonic separation
S06	udt_fc07_reciprocal_harmonic_compatibility_audit_2026-08-02/PREMISE_LEDGER.tsv	parent premise typing
S07	udt_fc07_reciprocal_harmonic_ownership_audit_2026-08-01/EXACT_DERIVATION.md	FC07 Hodge ownership formula
S08	udt_fc07_reciprocal_harmonic_ownership_audit_2026-08-01/CANDIDATE_REGISTRY.tsv	four monodromies
S09	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md	general screen and angular response
S10	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md	general screen scope/status
S11	udt_native_global_coframe_definition_audit_2026-07-28/AUDIT_REPORT.md	complete-coframe open joints
S12	udt_p4_routeB_extension_selection_2026-07-28/EXACT_DERIVATION.md	upper-right/split covariance limits
S13	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/EXACT_DERIVATION.md	typed normal/screen area duality
S14	udt_whole_configuration_reciprocity_audit_2026-08-01/EXACT_DERIVATION.md	observer naturality scope
S15	udt_phi_metric_ontology_audit_2026-07-22/AUDIT_REPORT.md	phi metric ontology
