id	path	role	git_blob	sha256	bytes
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	controlling premise ledger	f923b077483c2d2ab5fde2697a6e63649d027dc6	69342e40bc69cb89022efa8a3c68db63214040e3efe0f001278d995cd4c7ec0f	6798
S02	LIVE.md	current frontier and authorization boundary	8cf9a7697e875812727a8f0d89360f243acd69e6	a7da0c40571d6f9d5f915c4ffe6cf48c406bc098038a114e93b6509eef1e1455	76001
S03	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	durable scientific frontier	e55df40660eda7d898b19591ca8b67ccddfb531e	2b3ce1b92b4407a672b90e3191b75c41334b3af26e704189438636abb3a8fdb9	86878
S04	udt_fc07_reciprocal_harmonic_compatibility_audit_2026-08-02/NEXT_STEP.md	parent next-question definition	fdd25375c5e4b541229d5e25092c3298b0ac059a	c7dffb058d67809c7dedcdab76e89e34b9d775bdbc89a2928ebc99dc3d1994e0	1589
S05	udt_fc07_reciprocal_harmonic_compatibility_audit_2026-08-02/EXACT_DERIVATION.md	parent exact/harmonic separation	1540922adb7cb66e3593181eafa0136070839746	e6fa16d59759163556ff3d299f2ae05fca62753b2dc30628d7ea4fba0c9d5d73	9331
S06	udt_fc07_reciprocal_harmonic_compatibility_audit_2026-08-02/PREMISE_LEDGER.tsv	parent premise typing	9bb53bb338c40a06ec9e178e5e8831b0d7d07196	02f7c6e01c68d3a63f2abe8faf86c9c6a7416a049e7700a0600c6bd584606fdb	3525
S07	udt_fc07_reciprocal_harmonic_ownership_audit_2026-08-01/EXACT_DERIVATION.md	FC07 Hodge ownership formula	36235ff833893b323cd47b201af99f02eae783f0	9fa520e899e26ca9e7684a24c72ca4f3a025e35160f0b548e7f388aa61ed2842	6421
S08	udt_fc07_reciprocal_harmonic_ownership_audit_2026-08-01/CANDIDATE_REGISTRY.tsv	four monodromies	3f06c222c17985c26b80fdd0070eac501b8f9965	dd4f4392ad875ed96c2b9d545d204ac18fa1c4fcb1bd0070560287ff58ff9d0a	757
S09	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md	general screen and angular response	b4f9a0300cc3053f53b69ad28f1122e416273113	3d6cab420d4cb20dc0042c4ccce88a4d0b13d0c75572cc78a47daa04be87297f	7384
S10	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md	general screen scope/status	3f508e2d21328aef5a8e51cc7ca069ba3889992f	21fc7594ff288bb8297f3a8be36e8cfac336e340b376802a649ae95b3c10f932	4171
S11	udt_native_global_coframe_definition_audit_2026-07-28/AUDIT_REPORT.md	complete-coframe open joints	068ab7cba48b95dc46855e4a2822e9f8328a1c19	7aa0b81caa6504974e8ace4fc2c313a9e8394ad293b3d7c316412ca7ec6485f1	6258
S12	udt_p4_routeB_extension_selection_2026-07-28/EXACT_DERIVATION.md	upper-right/split covariance limits	fe3efa5bccd88412a0544be199b0fc9782c9cb87	cc555c6d2c18aa997a54afb865efbd49e29c938b2ca5f79de3e1fc021fcd6f11	23925
S13	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/EXACT_DERIVATION.md	typed normal/screen area duality	49f269143e767405694b030b32a55c0a79144e7f	d4498881da7413b2c9ea400f58d3f515e4b27bd021cf214193c982c661fed694	8204
S14	udt_whole_configuration_reciprocity_audit_2026-08-01/EXACT_DERIVATION.md	observer naturality scope	ba070672239ac4c751fb3971ca1b5f647106d972	ba3ebf5a7dc2d435fa325be6e94847476893785436714dc63576c858e4a8f442	7145
S15	udt_phi_metric_ontology_audit_2026-07-22/AUDIT_REPORT.md	phi metric ontology	8f583b340f683303f2644bd2d67698648a082692	f762051c7af6559556e6f2f68a6f85f3d4038dc9350822878619eb834ba30fee	10753
