premise_id	premise	effect_on_outcome	status
P01	founded phi and reciprocal pair	supplies phi normalization and typed depth sector	RETAINED_DERIVED
P02	observer-frame Reciprocity	requires future law naturality; does not select lambda	RETAINED_SCOPED
P03	compact Hodge theorem	supplies universal exact/harmonic orthogonality	LOAD_BEARING_MATHEMATICS
P04	b1=1	makes harmonic coefficient one-dimensional in controls	CHOSE_BOUNDED
P05	minus-identity mapping torus	supplies exact descending upper-right witnesses	CHOSE_COUNTERCONTROL
P06	stationary positive spatial slice	types Riemannian Hodge theorem	CHOSE_BOUNDED
P07	upper-right c	explored exact and nonclosed controls	FREE_IN_BOUNDED_CONTROLS
P08	oriented screen split and D	supplies sigma but limits full-frame naturality	DERIVED_GIVEN_TYPED_SPLIT
P09	sigma=log(D/D0)	supplies second metric scalar	DEFINED_GIVEN_SPLIT
P10	D0 reference	changes lambda only by exact form	AUXILIARY_QUOTIENTED
P11	minimal response basis	makes rank-one uniqueness bounded not universal	CHOSE_BOUNDED
P12	phi and D profiles	supplies constructive witnesses not realized solutions	FREE_AND_EXPLORED
P13	c_E and G_obs	retained calibration; do not enter dimensionless response rank	RETAINED_UNUSED_FOR_SELECTION
P14	strong CSN	no effect	INACTIVE_EXCLUDED
P15	mirror Xmax bootstrap density	no effect; cannot select or scan	OPEN_EXCLUDED
P16	action carrier source mass	no effect	OPEN_OR_CONDITIONAL_EXCLUDED
P17	full clock upper-right and time-live	no effect; no universal extension claim	OPEN_EXCLUDED
P18	internal dual Reciprocity	fixes founded pair representation but no response covector or level	RETAINED_DERIVED_SCOPED
