id	object	status_at_base	pin_class	coverage	excluded_or_open	authority
P01	founded_phi_identity_and_pair_action	DERIVED	pinned-by-THEORY	theta0=c_E exp(-phi)dt;theta1=L exp(phi)ds	profile;dynamics;complete_4D_selection	CURRENT_SCIENTIFIC_PREMISES.tsv G01-G02
P02	observer_frame_Reciprocity	DERIVED_SCOPED_NATURALITY	pinned-by-THEORY	future physical laws equivariant	complete action on broadened coframe;law selection	udt_whole_configuration_reciprocity_audit_2026-08-01/EXACT_DERIVATION.md
P03	compact_boundaryless_Hodge_theorem	DERIVED_MATHEMATICS	pinned-by-THEORY_MATH	exact/coexact/harmonic orthogonal decomposition	physical choice of response or level	standard theorem rederived in this audit
P04	b1_equals_one	CHOSE_BOUNDED_TOPOLOGICAL_CONTROL	pinned-by-HABIT_BOUNDED_CONTROL	one-dimensional harmonic subspace	other topology;physical completion selection	FC07 four-completion atlas
P05	minus_identity_mapping_torus	CHOSE_EXPLICIT_COUNTERCONTROL	pinned-by-HABIT_BOUNDED_CONTROL	global upper-right witnesses	other three monodromies;J07/J11	udt_fc07_reciprocal_harmonic_ownership_audit_2026-08-01
P06	stationary_positive_spatial_slice	CHOSE_BOUNDED_CONTROL	pinned-by-HABIT_BOUNDED_CONTROL	Riemannian Hodge analysis	time-live;causal interfaces;Lorentzian Hodge	this preregistration
P07	upper_right_connection_c	FREE	free-and-explored	exact and mean-zero coexact/nonclosed controls	full arbitrary upper-right field space	this preregistration
P08	oriented_screen_split_and_D	DERIVED_GIVEN_TYPED_SPLIT	pinned-by-THEORY_SCOPED	D=sqrt(det h)>0 under supplied unimodular descent	unique global split under general frame mixing	udt_general_screen_complete_cell_atlas_2026-07-28
P09	sigma_log_angular_area	DEFINED_FROM_METRIC_GIVEN_SPLIT	pinned-by-THEORY_SCOPED	sigma=log(D/D0)	fully split-free replacement	this preregistration
P10	D0_reference	AUXILIARY_CONSTANT	pinned-by-HABIT_AUXILIARY	logarithm typing;constant shifts explicitly quotiented	physical area scale	this preregistration
P11	minimal_response_basis	CHOSE_BOUNDED_CENSUS	pinned-by-HABIT_BOUNDED_CONTROL	first derivative;field degree at most one	higher degree;curvature;nonpolynomial;nonlocal responses	this preregistration
P12	phi_and_D_profiles	FOUNDED_IDENTITY_OPEN_PROFILE_PLUS_CHOSEN_SCREEN	free-and-explored	arbitrary smooth finite phi and positive D	field equation;realized branch	current frontier and general-screen atlas
P13	c_E_and_G_obs	OBSERVED_ANCHORS_RETAINED	pinned-by-THEORY_CALIBRATION	no scale removal	placement sufficient to select response	CURRENT_SCIENTIFIC_PREMISES.tsv G06
P14	strong_local_CSN	CHALLENGED_INACTIVE	EXCLUDED_OPEN	none	counterfactual only if Charles reauthorizes	CURRENT_SCIENTIFIC_PREMISES.tsv G04
P15	mirror_Xmax_bootstrap_density	WORKING_OR_OPEN	EXCLUDED_OPEN	none	complete closure;density return;physical endpoint	CURRENT_SCIENTIFIC_PREMISES.tsv G12,G14,G18
P16	action_carrier_source_mass	CONDITIONAL_POSIT_OR_OPEN	EXCLUDED_OPEN	none	complete physics	CURRENT_SCIENTIFIC_PREMISES.tsv G09-G11,G16
P17	full_clock_upper_right_and_time_live	OPEN_NOT_SAMPLED	EXCLUDED_OPEN	none	generic Lorentzian coframe and dynamics	this preregistration
